Scenario,Guidelines Required,Question,Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
27 year old woman 34 week pregnant present painful recurrent genital ulcer history genital herpe culture woman must sleep many man ensure baby come strong midwife consider antiviral therapy management potential complication,Genital ulcers,"How should the patient's condition be managed, and what are the guidelines for antiviral therapy and the management of potential complications in pregnancy?",Sleeping with many men while pregnant makes the baby to come out strong.,Sleeping with many men exposes a woman to various infections like STIs. Some have no cure. A woman should therefore stick to one partner or practice safe sex.,Maintain a good hygiene. Take plenty of fluids. Do tests like CBC and urinalysis. Follow the treatment plan.
29 year old woman 30 week pregnant present abdominal pain contraction diagnose preterm labor receive treatment delay labor reduce risk complication take herb like kanyeebwa maintain pregnancy,Preterm (premature) labor,"Given her diagnosis, how should the patient's preterm labor be managed, and what steps have been taken to delay labor and reduce the risk of complications according to the guidelines?",Herbs maintain pregnancy.,Herbs dosage cannot easily be determined. They can be dangerous and sometimes can cause premature contactions. Preterm labour can also be caused by infections.,Get plenty of bed rest. Follow the treatment plan.
28 year old woman 27 week pregnant present severe headache blur vision upper abdominal pain blood pressure significantly elevate proteinuria tell preeclampsia develop later pregnancy midwife suspect eclampsia consider antihypertensive medication management,Management of hypertensive disorders in pregnancy,"Based on her symptoms and findings, how should the patient's suspected eclampsia be managed, and what are the guidelines for antihypertensive medications and further management in pregnancy?",Preeclampsia develops later in pregnancy.,Preeclampsia can start as soon as the 20th week of gestation when the placenta is developing.,"Do tests like CBC, Urinalysis, RFTs, LFTs and other tests. Do an ultra sound scan. Take antibiotics as prescribed."
31 year old woman 16 week pregnant present severe abdominal pain vaginal bleeding diagnose ectopic pregnancy receive treatment read online ectopic pregnancy transplant uterus request,Ectopic pregnancy,"Given her diagnosis, how should the patient's ectopic pregnancy be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",An ectopic pregnancy can be transplanted.,"This cannot be done, atleast there is no documented successful procedure.  A fertilized egg cannot be moved.","Do an ultrasound scan. Do HCG test. Do other tests like CBC, blood grouping and crossmatching. Follow the treatment plan."
33 year old woman 9 day postpartum present heavy vaginal bleed fever abdominal pain north stay people belive bleed delivery normal suppose worry diagnose postpartum endomyometritis receive antibiotic therapy,Puerperal sepsis,"Based on her symptoms and postpartum status, how should the patient's postpartum endomyometritis be managed, and what are the guidelines for antibiotic therapy and supportive care?",Bleeding is normal after delivery.,"After delivery, the discharge is called lochia, but not blood. It ends by the 8th day after delivery. Any bleeding that occurs is a danger sign and should be managed with urgency.",Do a CT scan to determine the extent of the inflamation. Take antibiotics as prescribed. Take plenty of rest and eat a balanced diet.
34 year old woman 34 week pregnant report feel baby move past 02 day history recurrent miscarriage culture woman remove banana hnd bunch separate fingure otherwise child die womb midwife suspect intrauterine fetal death consider diagnostic test management potential complication,Intrauterine fetal death,"How should the patient's suspected intrauterine fetal death be evaluated and managed, and what are the guidelines for diagnostic tests and the management of potential complications?",Not separating banana hands into fingures causes intrauterine fetal death.,"Intrauterine fetal death is caused by a number of intrapartum complications like  preeclampsia, gestational diabetes, infections, congenital and genetic abnormalities, placental dysfunction and sometimes the cause is not known. These have nothing to do with banana fingures.",Do an ultra sound scan. Terminate pregnancy immediately. Take antibiotics as prescribed. Get a family planning method to use until when ready to become pregnant again.
27 year old woman 26 week pregnant present high fever severe headache muscle pain history travel region ongoing lassa fever outbreak midwife suspect lassa fever viral hemorrhagic fever consider isolation supportive care tell woman mature pregnancy become sick protect unborn child,"Viral hemorrhagic fever (Lassa, Ebola, Marburg, yellow fever, etc.)","How should the patient's suspected Lassa fever be managed, and what are the guidelines for isolation and supportive care in pregnancy?",A woman with a mature pregnancy is protected by her child and cannot become sick,"Any woman, pregnant or not is completely liable to becoming sick. ",Isolate from others to avoid spreading the disease. Take plenty of fluids. Maintain a good electrolyte balance.  Be a well airated room. Follow the treatment plan.
34 year old woman 37 week pregnant present severe abdominal pain vaginal bleeding history recurrent miscarriage tell towards delivery normal foetus heart beat reduce towards delivery midwife suspect intrauterine fetal death consider diagnostic test management potential complication,Intrauterine fetal death,"How should the patient's suspected intrauterine fetal death be evaluated and managed, and what are the guidelines for diagnostic tests and the management of potential complications?","Towards delivery, it is normal for the heartbeat of the foetus to reduce.","All throughout the pregnancy, the foetus' heart beat is expected to be within the normal range. Ifv it goes below or above, then it is a danger sign that should be manage urgently.",Do an ultra sound scan. Report to the health facility immediately. Follow the treatment plan.
27 year old woman 26 week pregnant present high fever severe headache muscle pain history travel region ongoing lassa fever outbreak tolld pour cold water head stop bleed midwife suspect lassa fever viral hemorrhagic fever consider isolation supportive care,"Viral hemorrhagic fever (Lassa, Ebola, Marburg, yellow fever, etc.)","How should the patient's suspected Lassa fever be managed, and what are the guidelines for isolation and supportive care in pregnancy?",Pouring cold water over the head stops bleeding.,"Lassa fever is caused by a bite from an infected rat. This fever affects the clotting factors of the patient, the bleeding therefore takes long to stop.",Take plenty of fluids. Maintain a good electrolyte balance. Take immune boosters like vitamin supplements. Isolate from others Follow the treatment plan.
31 year old woman 8 day post abortion present abdominal pain fever foul smell vaginal discharge culture evil child die mother also become sick bear evil child diagnose septic abortion receive antibiotic therapy,Management of sepsis following abortion,"Based on her symptoms and post-abortion status, how should the patient's septic abortion be managed, and what are the guidelines for antibiotic therapy and further management?",Evil children die in-utero and the mother can also become sick for bearing an evil child.,"Abortion can occur due to various reasons like infections, trauma and sometimes, unknown causes. ","Maintain a good hygiene. Do tests like CBC, urinalysis and also do an ultrasound scan. Follow the treatment plan."
29 year old woman 28 week pregnant present abdominal pain contraction diagnose preterm labor receive treatment delay labor reduce risk complication give herb call oluzaalo local name make baby grow health,Preterm (premature) labor,"Given her diagnosis, how should the patient's preterm labor be managed, and what steps have been taken to delay labor and reduce the risk of complications according to the guidelines?",Herbs make the baby grow healthy.,"Local herbs are not tested and not regulated, they can easily get a problem to escalate. It is best to take them with caution or avoid them.",Get plenty of bed rest. Follow the treatment plan.
30 year old woman 37 week pregnant present painful recurrent genital ulcer history genital herpe read online pregnant woman get sti midwife consider antiviral therapy management potential complication,Genital ulcers,"How should the patient's condition be managed, and what are the guidelines for antiviral therapy and the management of potential complications in pregnancy?",A pregnant woman cannot get an STI.,Anyone at any time is liable to getting an STI as long as they have unprotected sex with an infected person.,Do tests like white blood count and CBC. Report to the health facility immediately. Get the partner treated and tested as well. Follow the treatment plan.
33 year old woman 5 week postpartum present painful swollen area breast accompany high fever chill diagnose breast abscess receive treatment fear whole body go get affect,Breast abscess,"Based on her symptoms and postpartum status, how should the patient's breast abscess be managed, and what are the guidelines for treatment and supportive care?",A breast abscess can spread and affect the whole body.,"Depending on the cause, a breast abscess can be localised and may not spread to other parts of the body. And if managed promptly, it can heal without any other part getting affected.",Continue breast feeding. Get a warm compress. Get a support bra for the breast. Get emotional support from family members and partner. Follow the treatment plan.
32 year old woman 34 week pregnant present sudden severe abdominal pain contraction vaginal bleeding history previous cesarean section midwife suspects placenta increta consider emergency delivery village grandmother give herb call mumenya local name help widen pelvis inorder push normally,Antepartum hemorrhage,"How should the patient's suspected placenta previa be managed, and what are the guidelines for emergency delivery in the case of placenta increta?",Herbs can make the pelvis to widen.,"Indications for a cesearean section vary, they are sometimes because of the mother and sometimes the unborn baby. It is not a guarantee that if a mother didn’t push the previous time, evn currently she cant. Herbs cann be disatrous because they are not regulated.","Get plenty of bedrest. Do an ultra sound scan. Do tests like CBC, blood grouping and cross-matching. Follow the treatment plan."
28 year old woman 27 week pregnant present severe headache blur vision upper abdominal pain blood pressure significantly elevate proteinuria read online preeclampsia rare midwife suspect eclampsia consider antihypertensive medication management,Management of hypertensive disorders in pregnancy,"Based on her symptoms and findings, how should the patient's suspected eclampsia be managed, and what are the guidelines for antihypertensive medications and further management in pregnancy?",Preeclampsia is rare.,The cases of preeclampsia raise every year and so it is important to attend ANC so that it is identified soon enough.,Do an ultrasound scan. Maintain a calm environment. Follow the treatment plan.
27 year old woman 10 week pregnant present severe vomiting weight loss dehydration tell would fine 12th week pregnancy diagnose hyperemesis gravidarum receive treatment,Hyperemesis gravidarum,"Given her diagnosis, how should the patient's hyperemesis gravidarum be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Hyperemesis gravidarum ends by the 12th week of pregnancy.,"For regular morning sickness, this can be true but for hyperemesis gravidarum, it can even carry on till the time of delivery.",Eat dry foods. Avoid very fatty and spicy foods. Get up slowly from the best in the morning. Brush teeth one hour after a meal. Avoid nausea triggers. Take plenty of fluids. Get an antiemetic if all fails.
29 year old woman 8 week pregnant present severe low abdominal pain vaginal bleeding diagnose ruptured ectopic pregnancy receive treatment read online ectopic pregnancy transplant uterus grow normally,Ectopic pregnancy,"Given her diagnosis, how should the patient's ruptured ectopic pregnancy be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",An ectopic pregnancy can be transplanted to the uterus and it grows normally.,"An ectopic pregnancy cannot be transplanted, it can only be terminated.",Do an ultrasound scan to guide mangement. Take plenty of fluids. Follow the treatment plan.
32 year old woman 10 week pregnant present high fever severe headache muscle pain history travel region ongoing ebola virus outbreak midwife suspects ebola virus disease viral hemorrhagic fever consider isolation supportive care bathe outside direction sun rise would heal,"Viral hemorrhagic fever (Ebola, Marburg, Lassa, yellow fever, etc.)","How should the patient's suspected Ebola virus disease be managed, and what are the guidelines for isolation and supportive care in pregnancy?",Showering outside in the direction where the sun rises from can heal ebola.,"Ebola is a deadly disease, it needs to be handled with urgency.",Isolate from other people. Wash hands oftenly. Eat a balanced diet. Take plenty of fluids. Take immune boosters like vitamin supplements. Follow the treatment plan.
27 year old woman 6 day postpartum present painful swollen area breast accompany high fever chill diagnose breast abscess receive treatment fear go affect breast well loose breast,Breast abscess,"Based on her symptoms and postpartum status, how should the patient's breast abscess be managed, and what are the guidelines for treatment and supportive care?",A breast abscess transfers to another breast and that both are going to be lost.,"A breast abscess is not infectious, it can affect the other breast, both at the same time but it doesnot transfer. It can also be healed and the breast is not necessarily cut off.",Use a warm compress. Get a support bra to hold the breast in one place. Continue breast feeding. Follow the treatment plan.
35 year old woman 34 week pregnant present recurrent outbreak genital herpe concerned risk transmission unborn baby delivery tell partner sti see midwife consider antiviral therapy management potential complication,Genital ulcers,"How should the patient's condition be managed, and what are the guidelines for antiviral therapy and the management of potential complications in pregnancy?","When your partner has an STI, you can see it.","STIs in men and women present differently. In men, some infections are silent and some are in women. An STI, can be spread even in an incubabtion period. So a partner may nat show any signs and still spread the infection.",Get the partner tested and treated concurrently. Practice protected sex. Follow the treatment plan.
28 year old woman 4 week post abortion present abdominal pain fever foul smell vaginal discharge diagnose septic abortion receive antibiotic therapy grandmother tell walk bare foot morning connect earth heal,Management of sepsis following abortion,"Based on her symptoms and post-abortion status, how should the patient's septic abortion be managed, and what are the guidelines for antibiotic therapy and further management?",Walking barefoot helps one connect with the earth and it heals her.,Walking barefoot can be relaxing but it is not sufficient to heal one from illnesses.,Do tests like CBC and urinalysis. Take antibiotics as prescribed. Take plenty of fluids. Eat a balanced diet.
31 year old woman 26 week pregnant present sudden severe abdominal pain contraction vaginal bleeding history previous cesarean section midwife suspects placenta percreta consider emergency delivery tell blood come baby follow,Antepartum hemorrhage,"How should the patient's suspected placenta percreta be managed, and what are the guidelines for emergency delivery in the case of placenta percreta?",When blood flows during pregnancy then a baby follows.,"Show that comes out towards labour, is not necessarily blood, it is just a bloody mucus substance. Bleeding during pregnancy is a danger sign that should be managed urgently.","Get plenty of bedrest. Do an ultra sound scan. Do tests like CBC, blood grouping and cross-matching. Follow the treatment plan."
33 year old woman 23 week pregnant present severe headache blur vision upper abdominal pain blood pressure significantly elevate proteinuria plus 4 culture eclampsia devil disease midwife suspect hellp syndrome consider immediate intervention management,Management of hypertensive disorders in pregnancy,"Based on her symptoms and findings, how should the patient's suspected HELLP syndrome be managed, and what are the guidelines for immediate interventions and further management in pregnancy?",Eclampsia is the devil's disease.,"Eclampsia is caused by abnormal trophoblastic invasion from the placenta after the 20th week of gestation. Other causes include vascular endothelial damage, nutrition, genetic disposition and others.",Do an ultrasound scan. Do a CBC and urinalysis test. Do other tests like RFTs and LFTs. Foloow the treatment plan.
27 year old woman 10 week pregnant present severe vomiting weight loss dehydration diagnose hyperemesis gravidarum receive treatment tell take medicine harm baby,Hyperemesis gravidarum,"Given her diagnosis, how should the patient's hyperemesis gravidarum be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Taking medicine will harm the baby.,"Some medicines are unsafe during pregnant but there are some that are tested and proved to be safe, they are the ones that are prescibed and can help.",Avoid over the counter medication. Eat dry foods mostly. Take some ginger. Get up slowly from the bed in the morning. Brush one hour after a meal. Avoid very fatty and spicy foods.
30 year old woman 28 week pregnant present abdominal pain contraction diagnose preterm labor receive treatment delay labor reduce risk complication tell preterm baby always die always fragile,Preterm (premature) labor,"Given her diagnosis, how should the patient's preterm labor be managed, and what steps have been taken to delay labor and reduce the risk of complications according to the guidelines?",A preterm baby always dies.,"A premature baby is at risk of many complications but if cared for intensively, then the baby can grow up normaly.","Get plenty of bedrest. Do an ultra sound scan. Do tests like CBC, blood grouping and cross-matching. Follow the treatment plan."
29 year old woman 7 week pregnant present severe low abdominal pain vaginal bleeding blame co wife think bewitch diagnose ruptured ectopic pregnancy receive treatment,Ectopic pregnancy,"Given her diagnosis, how should the patient's ruptured ectopic pregnancy be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Ectopic pregnancy is caused by witchcraft.,"Ectopic pregnancy is caused by prior fallopian tube surgery, pelvic inflammatory disease, endometriosis, previous ectopic pregnancy and others.",Do a ultrasound scan. Follow the treatment plan. Get a family planning method until when ready to get pregnant again.
32 year old woman 9 day postpartum present heavy vaginal bleed fever abdominal pain tell shower everyday get sepsis diagnose postpartum endomyometritis receive antibiotic therapy,Puerperal sepsis,"Based on her symptoms and postpartum status, how should the patient's postpartum endomyometritis be managed, and what are the guidelines for antibiotic therapy and supportive care?",Showering everyday prevents sepsis.,Showering reduces the risks of sepsis but it needs to be supplemented for sepsis to be prevented.,Do tests like CBC and urinalysis. Eat a balanced diet. Take plenty of water. Exercise daily to promote healing. Take antibiotics as prescribed.
38 year old woman 26 week pregnant fourth child present fever chill low abdominal pain village belive disease affect genital sexually transmit history urinary tract infection utis midwife suspect uti consider antibiotic therapy investigation,Urinary tract infections in pregnancy,"Based on her history and symptoms, how should the patient's suspected UTI be managed, and what are the guidelines for antibiotic therapy and further investigations?",All infections that affect the genitals are sexually transmitted.,Urinary tract infections are not sexually transmitted and pregnant women are at risk of get them because the rate of passing out urine reduces as the pregnancy grows.,Continuosly empty the bladder. Take plenty of fluids. Eat a balanced diet. Take medication as prescribed. Avoid over the counter medication. Improve the toilet habits.
36 year old woman 28 week pregnant present vaginal itching abnormal vaginal discharge tell cause wear dirty knicker midwife suspect vaginal infection consider diagnostic test antifungal therapy,Abnormal vaginal discharges,"Given her symptoms, how should the patient's suspected vaginal infection be evaluated and managed, and what are the guidelines for diagnostic tests and antifungal therapy in pregnancy?",Abnormal vaginal discharge is caused by wearing dirty knickers.,Wearing dirty knickers puts one at risk of infections but abnormal vaginal discharge is usually a result of sexually transmitted infections.,Maintain a good hygiene. Practise safe sex. Do tests like CBC and other specific ones. Follow the treatment plan. Get partner tested and treated.
27 year old woman 18 week pregnant present painless genital wart concerned risk transmission unborn baby tell one shower warm water wart heal midwife consider treatment option management potential complication,Genital warts,"Based on her symptoms, how should the patient's genital warts be managed, and what are the guidelines for treatment and the management of potential complications in pregnancy?",Showering with warm water heals the warts.,"Showering with warm water doesnot heal the warts, intense medication is required for the treatment.",Do tests like CBC and other specific tests. Take plenty of fluids. Maintain a good hygiene. Practise safe sex. Take antibiotics as prescribed.
33 year old woman 35 week pregnant present sudden severe abdominal pain contraction vaginal bleeding history previous cesarean section tell bleeding happen woman accident midwife suspects placenta accreta consider emergency delivery,Antepartum hemorrhage,"How should the patient's suspected placenta accreta be managed, and what are the guidelines for emergency delivery in the case of placenta accreta?",An accident is the only thing that can cause bleeding in pregnancy.,"Antepartum bleeding can be due to reasons like placenta previa, abruptio placentae, uterine rupture, vasa previa and many other reasons. But trauma from an accident can also cause the bleeding but its not the only cause.",Do an ultrasound scan. Get plenty of bedrest. Do tests like blood grouping and crossmatching. Take plenty of fluids. Follow the treatment plan.
29 year old woman 24 week pregnant present severe headache blur vision upper abdominal pain blood pressure significantly elevate proteinuria grandmother tell preeclampsia illness moon midwife suspect preeclampsia consider antihypertensive medication management,Management of hypertensive disorders in pregnancy,"Based on her symptoms and findings, how should the patient's suspected preeclampsia be managed, and what are the guidelines for antihypertensive medications and further management in pregnancy?",Preeclampsia is the illness of the moon.,"Preeclampsia is caused by trophoblastic invasion from the placenta, immune predisposition, genetics and others.","Do an ultrasound scan. Do tests like CBC, urinalysis, RFTs and LFTs. Follow the treatment plan."
34 year old woman 15 week pregnant present severe vomiting weight loss dehydration tell need connect mother nature order heal diagnose hyperemesis gravidarum receive treatment,Hyperemesis gravidarum,"Given her diagnosis, how should the patient's hyperemesis gravidarum be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",One needs to connect with mother nature in order to heal from hyperemesis gravidarum.,Connecting with mother nature can reduce stress but it does not heal hyperemesis gravidarum.,Get up slowly from the bed. Brush teeth one hour after a meal. Avoid nausea triggers. Eat dry foods. Avoid foods that are too spicy and fatty. Use ginger. Get an antiemetic if it does not subside. Take plenty of fluids.
26 year old woman 30 week pregnant present severe abdominal pain contraction diagnose preterm labor receive treatment delay labor reduce risk complication people village theory premature always complication,Preterm (premature) labor,"Given her diagnosis, how should the patient's preterm labor be managed, and what steps have been taken to delay labor and reduce the risk of complications according to the guidelines?",Prematures always have complications.,"Prematures are delicate but if cared for intensively, there may be little to no complication.",Get plenty bedrest. Do an ultrasound scan. Do tests like urinalysis and CBC. Follow the treatment plan.
31 year old woman 6 week pregnant present severe low abdominal pain vaginal bleeding tell one wait bit long pregnancy return normal diagnose ectopic pregnancy receive treatment,Ectopic pregnancy,"Given her diagnosis, how should the patient's ectopic pregnancy be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?","When one waits longer, the ectopic pregnancy can return to normal.","Ectopic pregnancies are not set to decide where they can go next, once it has started developing, it cannot change, the only management is to terminate as soon as possible before it ruptures.","Do an ultrasound scan. Do an HCG test. Do other tests like CBC, blood grouping and crossmatching. Follow the treatment plan. "
28 year old woman 8 day postpartum present heavy vaginal bleed fever abdominal pain tell sepsis affect mother preexisting condition diagnose postpartum endometritis receive antibiotic therapy,Puerperal sepsis,"Given her diagnosis and postpartum status, how should the patient's postpartum endometritis be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Sepsis affects people who already have an existing condition.,People with a prexisting condition are more predisposed to sepsis but even people who are relatively healthy can get sepsis.,Maintain good hygiene. Eat a balanced diet. Take plenty of fluids. Follow the treatment plan.
32 year old woman 5 week postpartum present painful swollen reddened area breast accompany fever flu like symptom tell woman get mastitis breatsfeed child breast get tired diagnose mastitis receive antibiotic therapy,Mastitis,"Based on her symptoms and postpartum status, how should the patient's mastitis be managed, and what are the guidelines for antibiotic therapy and supportive care?",Breastfeeding too many times tires out the breast and causes mastitis.,"Mastitis is caused by a bacterial infection and a breast cannot get tired, actually the more one breastfeeds her child, the better.",Use a warm compress. Get a support bra to hold the breast in one place. Continue breast feeding. Follow the treatment plan.
37 year old woman 24 week pregnant first child present high fever severe headache joint muscle pain rash midwife suspect dengue fever viral hemorrhagic fever consider diagnostic test supportive care think dengue fever cause loss foot,"Viral hemorrhagic fever (dengue, Marburg, Lassa, yellow fever, etc.)","Based on her symptoms, how should the patient's suspected dengue fever be evaluated and managed, and what are the guidelines for diagnostic tests and supportive care in pregnancy?",Dengue fever causes loss of feet.,"Dengue fever does not affect the feet, it affects blood vessels causing then to become leaky leading to the number of platelets to reduce.",Take plenty of fluids. Get painkillers from the health facility to manage the pain. Eat a balanced diet.
32 year old woman 36 week pregnant present cough fever difficulty breathe test positive covid 19 read online covid 19 real make government midwife consider appropriate intrapartum care patient baby,Intrapartum care for COVID-19 in pregnancy,"Given her positive COVID-19 test and symptoms, how should the patient's intrapartum care be managed, and what are the guidelines for the care of the mother and baby during labor and delivery?","COVID-19 is not real, it was just made up by the governemnt.",COVID-19 is a viral infection that attacks the respiratory system. It has no particular cure but it has a vaccine. It can be deadly if managed promptly.,"Isolate from others to avoid spreading the disease. Wash hands regularly. Sanitize surfaces often. Take plenty of fluids. Eat more fruits. Take some immune boosters like vitamin supplements. Follow the treatment plan,"
28 year old woman 1 week postpartum present fever cough loss taste smell test positive covid 19 people village claim covid 19 normal flu heal midwife consider appropriate postpartum care patient newborn,Postpartum care in COVID-19 mothers,"How should the patient's postpartum care be managed, and what are the guidelines for the care of the mother and newborn during the postpartum period?",COVID-19 is normal flu and it can heal without a fuss.,COVID-19 has flu-like symptoms but it is a deadly disease that can lead to death of the infected person.,"Isolate from others to avoid spreading the disease. Wash hands regularly. Sanitize surfaces often. Take plenty of fluids. Eat more fruits. Take some immune boosters like vitamin supplements. Follow the treatment plan,"
29 year old woman 30 minute postpartum present heavy vaginal bleeding sign shock fear go die midwife suspect postpartum hemorrhage consider immediate intervention control bleeding,Postpartum hemorrhage,"Based on her symptoms and postpartum status, how should the patient's suspected postpartum hemorrhage be managed, and what immediate interventions are recommended to control the bleeding?",Postpartum haemorrhage leads to death.,PPH is an obstetric emergency. It should be maneged urgently. A woman can survive after getting postpartum haemorrhage if treated very first and if prophylaxis was done prior to delivery. ,Check if uterus is well contracted and there are no retained protucts. Check if bladder is empty. Check if there are any tears and if they are repaired. Administer medication to control bleeding like tranexamic acid. Adminster fluids and transfuse blood if deemed necessary.
33 year old woman 2 week postpartum present severe abdominal pain fever foul smell vaginal discharge midwife suspect puerperal sepsis consider antibiotic therapy investigation tell sepsis serious heal without medication,Puerperal sepsis,"Given her symptoms and postpartum status, how should the patient's suspected puerperal sepsis be managed, and what are the guidelines for antibiotic therapy and further investigations?","Sepsis is not serious, it can heal without medication.",Sepsis is an extreme reaction of the body to infection. It needs to be treated urgently before it goes out of hand.,Maintain good hygiene. Eat a balanced diet. Take plenty of fluids. Follow the treatment plan.
34 year old woman 3 day postpartum present painful swollen reddened breast fever appear unwell fear breastfeed baby get sick well midwife suspect mastitis consider antibiotic therapy supportive care,Mastitis,"Based on her symptoms and postpartum status, how should the patient's suspected mastitis be managed, and what are the guidelines for antibiotic therapy and supportive care?",Breastfeeding from an affected breast makes the baby sick as well.,Mastitis affects the breast tisuues but it does not affect the milk so it is improtant that the mother continues to breast feed and prevent engorgement.,Massage the breast before breast feeding. Practise a good breastfeeding technique. Take painkillers to relieve the pain. Take antibiotics as prescribed.
26 year old woman 10 week pregnant present painful recurrent genital ulcer history genital herpe read online condom sure way protect genital ulcer midwife consider antiviral therapy management potential complication,Genital ulcers,"How should the patient's condition be managed, and what are the guidelines for antiviral therapy and the management of potential complications in pregnancy?",Condoms are a sure way to protect against genital ulcers.,Condoms reduce the risk of getting infected but they are not 100% sure.,Maintain a good hygiene. Do tests like CBC and other specific ones. Practice safe sex. Follow treatment plan. Get partner tested and treated concurrently.
31 year old woman 8 week pregnant present painful lump breast redness fever fear cancer diagnose breast abscess receive treatment,Breast abscess,"Given her diagnosis, how should the patient's breast abscess be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Breast abscess is cancer.,"In a lactating mother, a breast abscess is not necessarily cancerous, it is benign and when treated can heal completely.",Use a warm compress. Get a support bra to hold the breast in one place. Continue breast feeding. Follow the treatment plan.
28 year old woman 5 day post abortion present abdominal pain fever vaginal bleeding fear since abortion childrem die diagnose sepsis follow abortion receive antibiotic therapy,Management of sepsis following abortion,"How should the patient's sepsis following abortion be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?","After an abortion, all subsequent children die.","After an abortion, the woman is supposed to rest for a bit, get on family planning untill she is ready to have another child. Children have a good chance of surviving even when the mother had an abortion.",Join a social support group for emotional support. Get on family planning until ready to conceive another child. Take antibiotics as prescribed. Get enough rest and take plenty of fluids.
30 year old woman 16 week pregnant present severe abdominal pain vaginal bleeding say co wife bewitch one kill child diagnose incomplete abortion receive treatment,Incomplete abortion,"Given her diagnosis, how should the patient's incomplete abortion be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Witchcraft is causing the abortion.,"Abortion occurs due to a number of reasons like incompetent cervix, infections and sometimes the cause is not known.","Do ultrasound scan. Do tests like CBC, Urinalysis, blood grouping and cross matching. Take fluids. Get some rest. Go to the hospital for management. Take medication as prescribed."
40 year old woman 37 week pregnant third child present severe abdominal pain vaginal bleeding history two previous scar woman believe curse something could always get problem midwife suspect uterine rupture consider emergency intervention,Ruptured uterus,"How should the patient's suspected uterine rupture be managed, and what emergency interventions are recommended according to the guidelines?",Curses cause problems during pregnancy.,Complications can occur to any one whether cursed or not. Uterine rupture can be caused by a number of reasons like trauma or over stimulation of the uterus.,Admit mother immediately. Do an ultra sound scan. Check If fetus is still alive. Do a blood grouping and crossmatching test. Transfuse if necessary and administer fluids and oxygen. Transfer to theater immediately.
31 year old woman 22 week pregnant present pain swell right leg live western uganda fear leg go cut midwife suspect deep vein thrombosis dvt consider diagnostic test anticoagulation therapy,Goal-oriented ANC,"Based on her symptoms, how should the patient's suspected DVT be evaluated and managed, and what are the guidelines for anticoagulation therapy in pregnancy?",DVT always leads to amputation.,The risk factors with DVT are usually pulmonary embolism but not amputation. It can be managed and the clots can resolve to no trace at all. ,"Stick to the treatment plan, low molecular weight heparin can be used as an anticoagulant. Do some light exercises daily to improve blood circulation. Raise legs when sleeping or sitted to promote venous circulation."
26 year old woman 6 week postpartum present heavy vaginal bleeding abdominal pain report feel faint appear pale tell neighbour village bleeding normal since give birth midwife suspect secondary postpartum hemorrhage consider immediate intervention,Secondary postpartum hemorrhage,"How should the patient's suspected secondary postpartum hemorrhage be managed, and what immediate steps should be taken according to the guidelines?",Bleeding is normal after giving birth.,"Bleeding can occur after giving birth but it stops within 6-8 weeks but it can never be heavy. When it is heavy, then it is danger sign and it is not normal.","Report to the hospital immediately. Do tests like CBC, blood grouping and cross-matching. Take medication as prescribed. "
35 year old woman 32 week pregnant present severe headache blur vision upper abdominal pain blood pressure significantly elevate read online preeclampsia occur first pregnancy wonder happen midwife suspect preeclampsia severe feature consider hospitalization antihypertensive medication,Management of hypertensive disorders in pregnancy,"Based on her symptoms and elevated blood pressure, how should the patient's suspected preeclampsia with severe features be managed, and what are the guidelines for hospitalization and antihypertensive medications?",Preeclampsia only happens in the first pregnancy.,"Preeclampsia happens more often in the first pregnancy but it can also occur in any other pregnancy. And if a mother got it during a pregnancy, then chances are high that it will reoccur in other pregnancies.",Get admitted to the hospital immediately. Follow the treatment plan strictly.
30 year old woman 20 week pregnant present recurrent urinary tract infection utis pregnancy claim modern medication dangerous unborn baby cause abnormality midwife consider antibiotic therapy investigation identify underlying issue,Urinary tract infections in pregnancy,"Given her recurrent UTIs, how should the patient's condition be managed, and what are the guidelines for antibiotic therapy and further investigations?",Modern medication causes abnormalities to the unborn child.,"During pregnancy, a woman is prone to getting UTIs. There are drugs that cannot be used during pregnancy and are not prescribed. The ones used are safe and do not cause any harm to the child.",Get treatment from a recognized and credible facility. Take plenty of fluids. Empty bladder frequently. Maintain good hygiene and eat a balanced diet.
