Scenario,Guidelines Required,Question,Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
30 year old woman experience abnormal vaginal discharge unusual color odor tell woman eat fish give birth remain witha permanent fishy smell healthcare team provide treatment address abnormal discharge monitor closely,Abnormal vaginal discharges,"How has the patient's abnormal vaginal discharge been diagnosed and managed, and what measures have been taken to ensure her well-being?",Eating fish after delivery makes a woman to have a permanent fishy smell.,Fishy smell is because of vaginosis which is usually bacterial. This can be treated and it heals thus normalizing the vaginal discharge smell.,"Do a speculum exam and a high vaginal swab for microscopy. Do culture and sensitivity if necessary, potassium hydroxide test for bacterial vaginosis and PCR test for clamydia. Maintain good hygiene. Take plenty of fluids. Eat a balanced diet. Get treatment for a recognised facility and adhere to it."
28 year old woman experience painful sore genital area tell partner infectin see shower immediately get healthcare team provide treatment suspect genital ulcer monitor closely,Genital ulcers,"How has the patient's suspected genital ulcers been diagnosed and managed, and what measures have been taken to ensure her well-being?",You can see an infection if your partner has it and showering immediately prevents getting infected.,The ulcers are visble but sometimes one can be asymptomatic and still spread the infection. Showering doesnot protect from getting infected.,Extract mass from the ulcer for culture and sensitivity. Take antibiotics as prescribed. Sitz bath using warm salty water. Abstain from vaginal intercourse until fully healed. Get partner tested and treated concurrently.
26 year old woman experience small flesh colored bump genital area tell cause poor hygiene healthcare team provide treatment suspect genital wart monitor closely,Genital warts,"How has the patient's suspected genital warts been diagnosed and managed, and what measures have been taken to ensure her well-being?",Poor hygiene causes genital warts.,Genital warts is a sexually trasnsimitted infection. Poor hygiene increases the risk of contracting the infection but even cleaning up doesnot reverse the infection.,"Do tests like CBC, urinalysis, VRDT test for syphilis and other infections. Take antibiotics as prescribed. Follow the treatment plan like laser removal of the warts. Get partner treated and testsed."
24 year old breastfeed mother experience pain swelling redness one breast tell woman give concentrated milk also breastfeed baby gain weight healthcare team provide treatment suspect mastitis monitor closely,Mastitis,"How has the patient's suspected mastitis been diagnosed and managed, and what measures have been taken to ensure her well-being and support for breastfeeding?",Baby should be given concentrated milk for the baby to gain weight while she is also breastfeeding.,Concentrated milk causes the baby to have diarrhoea or even enterocolitis. Breastmilk is sufficient for the baby.,Do tests like CBC. Use a warms compress. Continue breastfeeding. Express breastmilk if its too much. Take antibiotics as prescribed. Take painkillers as prescribed.
30 year old pregnant woman third trimester experience vaginal bleeding tell bleeding occur menstruation end pregnancy contnue healthcare team provide treatment suspect antepartum hemorrhage monitor mother baby closely,Antepartum hemorrhage,"How has the patient's suspected antepartum hemorrhage been diagnosed and managed, and what measures have been taken to ensure the well-being of both the mother and the baby?",Menstruation continues even during pregnancy and it is the reason for the bleeding.,"When a woman becomes pregnant, the only bleeding that is normal is implantation bleeding which can judt be spotting. Menstruation ceases till after delivery and most cases, 6months after delivery so any bleeding that occurs is a danger sign.",Do an ultrasound scan. Do tests like CBC and blood grouping and cross-matching. Manage according to the cause of the bleeding. Encourage plenty of bedrest. Rescusitate mother with crystallods like normal saline. Give oxygen by face mask or nasal prongs.
28 year old woman recently give birth experience heavy vaginal bleeding think woman bleed either abortion menstruation healthcare team provide treatment manage postpartum hemorrhage monitor closely,Postpartum hemorrhage,"How has the patient's postpartum hemorrhage been managed, and what steps have been taken to ensure her well-being?",Haemorrage occurs only during mentruation or abortion so she thinks that it could be menstruation.,"After delivery, mentruation doesnot return right away so the bleeding is not normal. Postpartum haemorrhage may occur due poor uterine contraction, tears or poor clotting factors.","Check for breathing, airway partency and circulation. Monitor vitals signs continuosly. Give crystalloinds like normal saline. Give oxygen by face mask. Give medications like carboprost and tranexamic acid to control bleeding. Insert catheter to drain the bladder. massage uterus to ensure that its well contracted and expell any retained products. check clotting time of the blood. Transfuse if necessry. check for any tears and have them repaired. give oxytocin through normal saline."
26 year old woman give birth two week ago experience vaginal bleeding culture woman must perfom ritual appease god delivery short die healthcare team provide treatment suspect secondary postpartum hemorrhage monitor closely,Secondary postpartum hemorrhage,"How has the patient's suspected secondary postpartum hemorrhage been diagnosed and managed, and what measures have been taken to ensure her well-being?",Failure to perform rituals to thanks gods causes death to the mother.,"Secondary postpartum haemorrhage is caused to a number of factors like poor uterine contraction. Tears that are not repaired, little clotting factors and others. It can be managed and the mother stabilizes.","Check the airway, breathing and circlation.  Monitor vitals signs and rule out shock. Do test like CBC, blood grouping and crossmatching clotting time. Book atleast two units of blood. Administer drugs like oxytocin and trnexamic acid. Massage uterus. Repair any tears. establish cause of bleeding and treat. Empty the bladder by catheterization. Administer crystalloids like normal saline."
24 year old woman labor experience severe abdominal pain sign shock belive uterus heal even rupture healthcare team provide treatment suspect ruptured uterus prepare emergency surgery,Ruptured uterus,"How has the patient's suspected ruptured uterus been diagnosed and managed, and what steps have been taken to ensure her well-being and the safety of the baby?",A uterus can heal after a rupture.,"A ruptured uterus is removed only when it cannot be repaired. But if the ruture was not complete, it can be repaired and it heals.",Do tests like CBC and blood grouping and crossmatching. Book blood. Admister crystalloids. Monitor fetal wellbeing and maternal wellbeing. Prepare mother for an emergency cesearean section.
29 year old woman complicated delivery experience sign anemia require blood transfusion religion prohit share body fluid people healthcare team ensure safe transfusion monitor closely,Blood transfusion,"What steps have been taken to ensure a safe blood transfusion for the patient, and how has she been monitored during the process?",Blood trasnfusion is sacrilegious.,Blood trasfusion is usually an emergency  intervention to save a life. Blood is always cleaned and purified. It is not done unless it is absolutely necessary.,Establish intravenous access. Ensure aseptic technique. Do tests like CBC and blood grouping and cross-matching. Assess rhesus compatibility. Carry out blood transfusion aseptically. Give prophylatic antibotics. Insert catheter to monitor urine output. may consider administerung a diuretic like frusemide. ensure that mother is in a comfortable positon.
27 year old woman abortion experience abdominal pain sign infection tell take tea lot tea leave carry abortion healthcare team provide treatment address complication monitor closely,Management of abortion complications,"How have the patient's abortion complications been managed, and what measures have been taken to ensure her well-being?",Tea with a lot of tea leaves helps one to abort.,Tea leaves causes contactions but it is not sufficent to laed to a complete and safe abortion.,"Do an ultrasound scan. Do tests like CBC, blood grouping and cross-matching. Admisnister fluids like normal saline. Give a broad spectrum antibiotic like ampicillin or ceftriaxone. Assess need for a surgical procedure. Provide post abortion care."
25 year old woman abortion experience fever abdominal pain foul smell vaginal discharge say abortion dangerous healthcare team provide treatment suspect sepsis follow abortion monitor closely,Management of sepsis following abortion,"How has the patient's suspected sepsis following her abortion been diagnosed and managed, and what measures have been taken to ensure her well-being?",Abortion is dangerous.,"Abortion espescially if done in the first trimester is a very safe medical procedure, complications are minimal more so if followed by sufficient post-abortion care.","Do an ultrasound scan. Do tests like CBC, blood grouping and cross-matching. Give crystalloids like normal saline. Give a broad spectrum antibiotic like ampicillin. Advise on safe ways to carry out an abortion. Advise on proper hygiene. Plan follow up visits. provide post abortion care."
29 year old woman abortion feel emotionally distressed seek support fear abortion lead permanent infertility healthcare team provide post abortion counseling help cope feeling provide guidance,Post-abortion counseling,"What post-abortion counseling has been provided to the patient, and how has she been supported in coping with her emotions?",Abortion leads to long- term infertility.,Abortion is not linked to infertility.  Awoman is capable of conceiving again after going through an abortion.,"Ask about how abortion occurred, whether it was spontaneous or induced. Advise on how to avoid unplanned pregnancies. Connect mother to a social support group. Provide an analgesic. Sensitize mother on the various family planning methods available. Allow mother to ask any questions."
30 year old woman molar pregnancy experience persistent vaginal bleeding abdominal pain read online cancerous healthcare team provide treatment manage gestational trophoblastic disease monitor closely,Gestational trophoblastic disease management,"How has the patient's gestational trophoblastic disease been managed, and what measures have been taken to address her symptoms and ensure her well-being?",Gestational trophoblastic disease is cancerous.,Gestational trophoblastic disease is aused when two sperms fertilize one ovum or when a sperm fertilizes an empty ovum. It is not always cancerous.,"Do an ultrasound san. Do an HCG test, CBC, LFT, RFT, blood grouping and cross-matching. Administer prophylactic antibiotics. Book blood. Administer anti-Rh (D) to immune globulin to Rh (D) negative women. Perfom surgical curretage to remove the mole."
26 year old woman first trimester pregnancy experience abdominal pain vaginal bleeding culture happen woman get pregnant man husband healthcare team provide treatment suspect ectopic pregnancy monitor closely,Ectopic pregnancy,"How has the patient's suspected ectopic pregnancy been diagnosed and managed, and what steps have been taken to ensure her well-being?",Ectopic pregnancy occurs when a woman becomes pregnant for a man who is not her husband.,"Ectopic pregnancy is caused by infections like pelvic inflammatory diease, scars in the fallopian tube and others. Some times the cause is not known. It can happen regardless of the father of the child.","Do an ultrasound scan to locate the ectopic. Do an HCG test. Do other tests like CBC, urinalysis, blood grouping and cross-matching."
28 year old woman deliver baby receive postpartum care culture woman delivery suppose eat ground nut becuase cause diarrhoea healthcare team monitor vital sign assess recovery provide support breastfeed newborn care,Postpartum care,"What postpartum care has been provided to the patient, and how has her recovery and the care of the newborn been managed?",Eating groundnuts after delivery causes diarrhoea.,"Eating groundnuts is not only problematic when the mother is allergic to groundnuts, other than that diarrhoea maynot occur. She can therefore eat them if she wants.",Monitor vital signs. Initiate breastfeeding. Check for vaginal bleeding. Assess for contraction of the uterus. Transfer mother to a more comfortable place. Give routine medication like tetracycline to the baby and the vaccination like polio 0 and BCG vaccine. Encourage bladder emptying regularly.
30 year old breastfeed mother experience painful swelling breast make difficult breastfeed read online breast burst get engorge healthcare team provide treatment guidance help alleviate discomfort,Breast engorgement,"How has the patient's breast engorgement been managed, and what steps have been taken to provide relief and support for breastfeeding?",A breast can burst when it gets engorged.,A breast cannot burst due to breast engorgement but it can become very painfull untill it is relieved.,Continue breastfeeding regaularly. Harvest the milk if its too much. Take painkillers as prescibed. Ensure that the baby is in a healthy condition to guarrantee maximum feeding. Use soft breast pads and change them regularly. Use a warm compress on the breast.
26 year old breastfeed mother experience crack sore nipple cause pain discomfort breastfeed tol cause mother breasfeed child dark healthcare team provide treatment advice help continue breastfeed,Cracked/sore nipples,"How has the patient's cracked and sore nipples been managed, and what advice has been provided to help her continue breastfeeding?",Breastfeeding in the dark causes cracked or sore nipples.,Nipples get cracked usually due to trauma that occurs because of poor breastfeeding technique. It can also happen when the skin is too dry.,Continue breastfeeding. Express some milk and apply it only the nipples and leave them exposed. Take antibiotics as prescribed. Take an analgesic to minimize the pain. Practice good breastfeeding technique.
24 year old woman recently give birth experience fever abdominal pain foul smell vaginal discharge tell woman suppose drink herb wash womb healthcare team provide treatment suspect puerperal sepsis monitor closely,Puerperal sepsis,"How has the patient's suspected puerperal sepsis been diagnosed and managed, and what measures have been taken to ensure her well-being?",A woman is drink herbs to wash the womb after delivery.,Herbs are assoociated with side effects and they are easily contaminated thus the pueperal sepsis.,"Do tests like CBC, urinalysis, blood grouping and crossmatching. Maintain good hygiene. Assess the cause of the sepsis. Take broad spectrum antibiotics as prescribed. Give crystalloids like normal saline. Do ultrasound scan."
29 year old woman abortion experience heavy bleeding say punish loose baby healthcare team provide treatment manage hemorrhage ensure safety,Management of hemorrhage due to abortion,"How has the patient's hemorrhage following her abortion been managed, and what steps have been taken to ensure her safety?",Hemorrhage is punishment for loosing a baby.,Haemorrhage usually follows after an abortion. This should ust be managed and the mother will stabilize.,"Do tests like CBC, haemoglobin measurement. Blood grouping and cross-matching. Do an ultrasound scan. Give crystalloids like normal saline. Transfuse with blood if necessary. Do a vaginal exam and remove the retained products of conception. Maitain bladder drainage. give oxytocin as needed and misoprostol. start antibiotic therapy. give analgesics. perform manual vacuum aspiration."
30 year old woman labor experience shoulder dystocia make difficult deliver baby tell failure take clay herb emmumbwa local name cause one difficult delivery healthcare team work quickly resolve situation ensure safe delivery,Shoulder dystocia (stuck shoulders),"How has the patient's shoulder dystocia been managed during labor, and what steps have been taken to ensure a safe delivery?",Refusal to take emmumbwa causes a difficult delivery.,Shoulder dystocia can happen pre-labor rupture of membranes. Local herbs can be disastrous because they usually have impurities.,Be calm and don’t panic or pull the baby. Call for help. Give a bilateral generous episiotomy. Explain to mother and gurrantee her cooperation. Put mother in McRoberts position and apply suprapubic pressure to deliver the baby. If it fails turn mother on all fours and do other manourvers to deliver the baby. prepare for newborn rescusitation.
28 year old woman labor compound presentation baby hand present alongside head grandmother tell happen pelvis wide healthcare team consider good approach safe delivery,Compound presentation,"How has the patient's compound presentation been managed during labor, and what approach has been taken for a safe delivery?",A very wide pelvis causes compound presentation.,"Compound presentation can be caused by prematurity, grand multiparity, polyhydrominous and others but not because the pelvis is too wide.",Do an ultrasound scan. Do abdominal examination and vaginal examination. Do not push back the extremities. Rescuitate mother with fluids and oxygen. Do pelvictometry to assess adequacy of pelvis. If there is no contraindication to vaginal delivery then wait for vaginal delivery.
26 year old woman labor experience prolong labor slow progress active phase blame lawas tie stomach prevent progress healthcare team monitor closely consider intervention assist delivery,Prolonged labor; Prolonged active phase,"How has the patient's prolonged labor and active phase been managed, and what interventions have been considered to assist with the delivery process?",Stomach was tied and so the hindrance to progress.,This is not scientifically proved. Prolonged active stage can be caused by insufficient contractions that can be corrected and labor progresses.,"Do an ultrasound scan. Rupture membranes and observes for meconium staining. Rescusitate mother with IV fluids. Augment labor with oxytocin if contractions are inadequate. Continue monitoring the labour until vaginal delivery is achieved, if it fails deliver baby by cesearean section."
24 year old woman labor cord prolapse umbilical cord descend baby drinking water labor cause polyhydrominous healthcare team take immediate action prevent complication ensure safe delivery,Cord prolapse,"How has the patient's cord prolapse been managed during labor, and what steps have been taken to prevent complications and ensure a safe delivery?",Drinking water when in labor causes polyhydrominous.,"Polyhrominous is one of the risk factorsnfor cord prolapse. Drinking water during labor only gives the mother energy and is protective to the baby, it does not lead to poly hydrominous.","Do a vaginal examination if membranes ruptured to check if cord is pulsating. Put mother in knee-chest position. Perform intrauterine rescusitation with fluids. Administer oxygen administration. Monitor fetal heartrate continuosly. Deliver baby by cesearean section. if mother is in second stage, then give an episiotomy and deliver by vacuum delivery or forceps delivery."
29 year old woman labor experience fetal distress change baby heart rate tell pregnant woman sit grave baby die healthcare team monitor situation closely consider option safe delivery,Fetal distress,"How has the patient's fetal distress been managed during labor, and what options have been considered to ensure the well-being of the baby?",The baby dies when a pregnant woman sits on a grave.,"Sitting on a grave is not scientifically proved to cause fetal death in-utero. Fetal distress is caused by olighydrominous, prolonged labor, obstructed labor, abruptio placentae and pre-labor rupture of membranes.",Do an ultrasound scan. Rescusitate mother with fluids given intravenously. Administer oxygen using nasal prongs or face mask. Monitor fetal heart rate. Deliver baby by cesearean section. Prepare for newborn rescusitation.
28 year old woman labor experience difficulty due breech presentation culture baby breech consider lucky regard twin healthcare team consider good approach safe delivery,Breech delivery,"How has the patient's breech presentation been managed during labor, and what approach has been taken for a safe delivery?",A breech baby is lucky and regarded as a twin.,"Scientifically, children are tiwns only when the pregnancy is not of a singleton. Breech presentation is risky as the child doesnot comeout easily and is at risky of birth injusries and having a low APGAR score.","Do an obstetric ultrasound scan. Assess fetal wellbeing. Do an abdominal and vaginal examination. Do pelctometry to assess adequacy of the uterus. Rescusitate mother with fluids. Prepare for newborn rescusitation. If there are no contraindications to vaginal delivery, perform manouevers to deliver the baby."
30 year old woman labor face presentation make delivery process challenging tell village mate chant prayer baby go good position healthcare team monitor closely provide guidance safe delivery,Face presentation,"How has the patient's face presentation been managed during labor, and what steps have been taken to assist with the delivery process?",Chanting prayers corrects malpresentation.,Chanting prayers may help to build courage but it cannot turn the baby to another presentation.,"Do obstetric ultrsound scan. Allow labour to progress and deliver vaginally if the mento-anterior position. If mento-posterior position, the prepare mother for c-section."
26 year old woman labor brow presentation complicate delivery process grandmother give herb turn baby good presentation healthcare team consider intervention assist delivery,Brow presentation,"How has the patient's brow presentation been managed during labor, and what interventions have been considered to assist with the delivery process?",Herbs taken during labou can change the baby to a good presentation.,Herbs cannot turn the nbaby to another presentation. Herbs are also contradictory because they are associated with negativ side effects.,Do an obstetric ultrasound scan. Avoid labor induction and augmentation. Monitor fetal wellbeing. Prepare mother for a cesearean section.
24 year old woman labor transverse lie make vaginal delivery impossible tell happen bad person touch stomach healthcare team plan cesarean section ensure safe delivery,Transverse lie,"How has the patient's transverse lie been managed during labor, and what steps have been taken to plan for a cesarean section?",Transverse lie is caused when a bad person touches the abdomen during pregnancy.,"When a person touches the abdomen, it does not influence the baby's presentation. Transverse lie can be caused by grand parity, prematurity, placenta previa and others.",Do obsteric ultrasound scan. Monitor fetal wellbeing.  Prepare mother for emergency cesearean section.
29 year old woman labor shoulder presentation obstruct delivery process tell shake abdomen correct malpresentation make sthe baby turn healthcare team provide support consider option safe delivery,Shoulder presentation,"How has the patient's shoulder presentation been managed during labor, and what options have been considered for a safe delivery?",Shaking the abdomen makes the baby turn and corrects malpresentation.,"Malpresentation cannot be corrected by shaking the abdomen, external cephalic version can be tried with caution during ANC.",Do a thorough abdominal and vaginal examination. Do an ultrasound scan. Counsel mother on the procedures. Rescusitate the mother and ensure fetal wellbeing. Prepare mother for emergency cesearean section.
28 year old woman labor experience slow progress first stage culture woman allow eat groundnut make diarrhate push baby healthcare team monitor closely consider intervention assist labor process,Management of the first stage of labor,"How has the patient's slow progress during the first stage of labor been managed, and what interventions have been considered to assist with the labor process?",Eating groungnuts during labour causes diarrhoea.,"Eating groundnuts is not only problematic when the mother is allergic to groundnuts, other than that diarrhoea maynot occur.","Take thorough history of the current pregnancy. Look, listen and feel the mother's response to contractions and different happenings during labor. Do vaginal and abdominal examination to confirm labor. Do tests like blood haemoglobin level, blood gouping and cross-matching and urinalysis for acetone, protein and sugar. Assess fetal wellbeing. Monitor progress of labor on the partograph. Maintain proper hygiene. Provide labor companionship. Ensure proper nutrition."
30 year old woman second stage labor experience difficulty push baby tell mother suppose make noise push sign weakness healthcare team provide support guidance help process,Second stage of labor,"How has the patient been supported and guided during the second stage of labor, and what steps have been taken to assist with the delivery of the baby?",Making noise while pushing a baby is a sign of weakness.,"Labor is very painful, a woman is already a hero just by braving it. Making noise is not a measure of weakness.",Ensure that all the delivery equipment are present. Prepare the rescusitation corner. Assist mother into the most comfortable position. Ensure that the bladder is emptied continuosly. Provide emotional support. Allow the mother to push at a contraction. wait until the head is out and support the perineum.
26 year old woman deliver baby third stage labor culture placenta difficult deliver another child womb healthcare team monitor delivery placenta ensure excessive bleeding,Third stage of labor,"How has the patient's third stage of labor been managed, and what measures have been taken to ensure the safe delivery of the placenta and prevent excessive bleeding?",Difficult delivery of the child is a sign that there is another child in the womb.,"During pregnancy, a midwife and obstetric scans can tell the presence of twins, difficult placental delivery doesnot indicate presence of a twin.","Massage uterus to rule out presence of an undiagonized twin. Administer oxytocin intramuscularly like 10 international units. Delay cord cutting and clampinf for 3 minutes. Clamp and cut the cord. Place hand above symphysis pubis and deliver the placenta by controlled cord traction. Check placenta for infacts, completeness and adnormalities."
24 year old woman deliver baby fourth stage labor healthcare team provide postpartum care ensure well health newborn culture woman give birth suppose sit bed chair air enter body open vagina,Management of the fourth stage and first 24 hours,"How has the patient's fourth stage of labor and the first 24 hours postpartum been managed, and what care has been provided to ensure her well-being and the health of the newborn?","After delivery, a woman doesnot sit on the bed or chair because then, air enters the body through the vagina.","After a delivery, the vaginal opening doesnot remain as big, this therefore cannot happen.","Clean the mother and give her a pad. Massage uterus and make sure that there are no retained products. Empty the bladder. Monitor vital signs after 15 minutes for one hour, after 30 minutes for 2 hours and then 2 hourly in 24 hours. Given an analgaesic like tramadol. Allow mother to rest. Help her to initiate breathfeeding. Watch out for any danger signs."
29 year old woman prolong labor require induction assist delivery process tell suppose eat banana sweet potato jackfruit delay clearing vernix healthcare team consider use oxytocin augment labor,Induction and augmentation of labor; Augmentation of labor using oxytocin,"How has the patient's prolonged labor been managed, and what steps have been taken to induce and augment her labor using oxytocin?","Eating bananas, sweet potatoes and jackfruit delays clearing of vernix.","Vernix is the whitish fat like substance on the baby's skin at delivery. This helps the baby's skin to be healthy, it should not worry the mother as it clears with time on its own.",Do an ultrasound scan. Monitor the fetal wellbeing. Rescusitate mother with normal saline or ringer's lactate. Administer oxygen if deemed necessary. Do pelvictometry to check is pelvis is adequate. Deliver the child in the way possible.
30 year old pregnant woman 36 week gestation experience severe pain discomfort due breech presentation tell baby breech always respiratory complication concerned safety delivery health baby,Breech presentation,"How has the patient's breech presentation been managed, and what steps have been taken to ensure a safe delivery and the health of the baby?",A baby in breech always has respiratory complications.,"A baby in breech goes through a dificult delivery and the risk is high, he or she usually needs rescusitation and if this is done properly the baby remains healthy without any complications.",Do an ultrasound scan. Monitor the fetal wellbeing. Rescusitate mother with normal saline or ringer's lactate. Administer oxygen if deemed necessary. Do pelvictometry to check is pelvis is adequate. Deliver the child in the way possible by employing manourvers like smel-viett.
28 year old pregnant woman diagnose gestational diabete routine glucose tolerance test worried impact gestational diabetes pregnancy well baby worried never heal stay away sweet thing,Gestational diabetes,"How has the patient's gestational diabetes been managed during her pregnancy, and what measures have been taken to ensure the health of the baby?",Gestation diabetes never heals and one has to avoid all sweet things.,"Gestational diabetes resolves after delivery in most cases, though the risk of it reoccuring in subsequent pregnancies stands. With gestational diabetes, one can still eat sweet things as long as the blood sugar level is within normal ranges. A diet change is still necessary though.","Do a random blood sugar test. Do an ultrasound scan. Do other tests like eye exam, LFT, RFT, HBA1C, urine albumin creatinine ratio, lipid profile and serum vitamin B12. Improve the diet. Do some exercises. Follow the treatment plan."
24 year old pregnant woman 34 week gestation experience regular contraction sign preterm labor tell drinking caffeine make baby restless thus cause preterm labour anxious possibility deliver baby prematurely associate risk,Preterm (premature) labor,"How has the patient's preterm labor been diagnosed and managed, and what steps have been taken to ensure the well-being of the baby?",Drinking caffeine while pregnant makes the baby restless thus causing preterm labour.,"Caffeine predisposes to abortions, lowbirth weight and others but not preterm labor. Preterm labor is caused by infections, multiple pregnancy, preeclampsia, drugs trauma and others.","Do an obstetric ultrasound scan. Do tests like mRDT malaria test and any other tests to establish any infection and treat. Administer emergency medicines like dexamethasone, antibiotics and magnesium sulphate. Get plenty of bedrest. Monitor fetal wellbeing."
26 year old pregnant woman 37 week gestation experience sudden gush clear fluid vagina tell cause sexual intercourse concerned rupture membrane potential risk infection,Pre-labor rupture of membranes (PROM),"How has the patient's pre-labor rupture of membranes been managed, and what measures have been taken to prevent infection and ensure a safe delivery?",Sexual intercourse causes pre-labour rupture of membranes.,"Sexual intercourse does not play a role because it cannot rupture membranes. It is caused by infections, multiple pregnancy and others.","Do an ultrasound scan. Do tests like CBC, and urinalysis. Take antibiotics. Encourage plenty of bedrest. Monitor fetal wellbeing 2 hourly. Plan for delivery. Do pelvictometry to assess adequacy of the pelvis. Induce labour if it does not start spontaneous"
29 year old pregnant woman expect twin seek guidance management multiple pregnancy concerned increase risk associate multiple pregnancy health baby tell baby usually come term always low birth weight,Multiple pregnancies,"How has the patient's multiple pregnancy been managed, and what steps have been taken to address the increased risks and ensure the health of the babies?",Babies usually come out before term and they have a low birth weight.,"Babies are at risk of being delivered before term and having a low birth weight but this is not always the case. In many cases, multiple pregnancies have been carried to term.",Do an obstetric ultrasound scan. Attend ANC regularly. Take iron supplements regularly. Have a thourough abdominal examination done. Eat a balanced diet. Take plenty of fluids. Get enough rest. 
30 year old pregnant woman history anaemia feel weak tired tell anaemia cause sit cross legge pregnancy worried impact anaemia pregnancy health baby,Goal-oriented ANC; Anaemia in pregnancy,"How has the patient's anaemia been managed during her antenatal care, and what steps have been taken to ensure the health of her baby?",Sitting while cross-legged causes anaemia in pregnancy.,"Anaemia is pregnancy occurs when the haemoglobin level is below 11g/dl, it can be mild moderate or severe. It is caused by excessive breakdown of red blood cells like in malaria or less preduction of red blood cells like in cases of iron deficiency.","Do tests for HB estimation, a full haemogram and other tests like urinalysis, sickle cells test, reticulocyte count, malaria test and others. Rest in propped up position. Administer oxygen by facemask. Administer fluids intravenously like normal saline. Transfuse with packed cells. Increase intake of iron supplements. Treat any underlying illness. "
25 year old pregnant woman live malaria endemic region diagnose malaria area people say malaria cause one say pittifull word malaria victim concerned effect malaria pregnancy well unborn child,Management of malaria in pregnancy,"What measures have been taken to manage the patient's malaria during her pregnancy, and how has the health of the unborn child been considered?",Saying a pittiful word to a malaria victim gets the disease transferred to you.,"Pittying a malaria victim does not cause malaria, it is caused by a bite from an infected female anopheles mosquito.","Do a blood slide test, CBC, urinalysis, HIV serology test, blood culture and others. Take an analgesic and antipyretic like paracetamol. Take antimalarials prescribed from a recognized facility. Take plenty of fluids. Eat a balanced diet. Increase the nutritional intake of iron, proteins and vitamins."
32 year old pregnant woman history hypertension experience headache swell hand foot tell cause pregnant woman jump ashe bush fire concerned risk preeclampsia impact hypertension pregnancy,Management of hypertensive disorders in pregnancy,"How has the patient's hypertension been managed during her pregnancy, and what steps have been taken to prevent complications such as preeclampsia?",Jumping over ashes from a bush fire causes preeclampsia.,"This is not scientifically proved. Preeclampsia is caused by trophoblastic invasion from the placenta, vesseal narrowing, genetic predisposition and prior preeclampsia.","Do an obstetric ultrasound scan. Do tests like CBC, blood grouping and cross-matching, RFTs, LFTs and urinalysis. Administer magnesium sulphate to prevent convulsions. Administer antihypertensives and encourage patient to adhere. Draw a treatment plan. "
28 year old pregnant woman experience severe nausea vomit lead dehydration weight loss worried effect hyperemesis gravidarum health development baby tell leak clay soil help prevent vomiting,Hyperemesis gravidarum,"How has the patient's hyperemesis gravidarum been diagnosed and managed, and what measures have been taken to ensure her well-being and the health of her baby?",Leaking clay soil prevents vomiting.,Clay soil is not scientifically proved to remedy hyperemesis gravidarum. It may even contain substances that maybe be disastrous to health.,"Get up slowly from the bed. Brush teeth one hour after a meal. Avoid spicy and fatty foods. Eat small, frequent meals. Eat dry foods like cassava. Drink ginger tea. Inhale peppermint oil. Take antiemetics like metoclopramide. Increase fluid intake to counter dehydration. "
26 year old pregnant woman receive devastating news intrauterine fetal death routine ultrasound examination distraught seek support guidance next step culture intrauterine fetal death curse sign woman never baby,Intrauterine fetal death,"How has the patient been supported and guided following the diagnosis of intrauterine fetal death, and what steps have been taken to manage the situation?",Intrauterine fetal death is a curse and a sign that the woman will never have any other children.,"Intrauterine fetal death can be caused by pregnancy complications, a woman is fully capable of carrying another child as long as the pregnancy is well monitored and there is timely management of complications.","Do an obstetric uktrasound scan. Do tests like CBC, blood grouping and cross-matching and urinalysis. Counsel mother and partner on the condition and the possible causes. Draw a plan of management together with the couple or mother. Advise on family planning."
30 year old breastfeed mother mastitis month ago come clinic complain painful swollen lump right breast tell breast abscess cause woman knock breast hard surface lump respond home remedy develop fever,Breast abscess,"How was the patient's breast abscess diagnosed and managed, considering her previous history of mastitis?",Breast abscess is caused by a woman knocking her breast against a hard surface.,A breast ascess usually follows mastitis. It is a bacterial infection. It is not connected to knocking one's breast against a hard surface. Though of course knocking a breast against a hard surface can be disastrous espescially if the impact is so strong.,"Use a warm compress. Continue breastfeeding. Maintain good hygiene. Get a bra to support the breast, avoid the uncomfortable one. Follow the treatment plan by takng antibiotics according to the dosage."
25 year old pregnant woman diagnose hiv aid first antenatal visit worried childwill malnourished dull concerned health unborn child impact condition pregnancy,HIV/AIDS in pregnancy,"What steps have been taken to manage the patient's HIV/AIDS during her pregnancy, and how has the health of the unborn child been considered?",Babies always be malnourished and dull.,"With HIV/AIDS in play, a child grows normally as long as the woman adheres to her medication and ensures maximum care during pregnancy.",Do a viral load count. Get advise on the best way to take medication. Attend ANC regularly. Eat a balanced diet. Take plenty of fluids. Get enough rest. Do timely treatment of infections. Plan to deliver from a recognized facility and inform your health provider about your status to ensure maximum care.
pregnant woman live region affect outbreak ebola virus disease diagnose virus experience fever bleeding weakness worried implication pregnancy health baby tell ebola deadly disease one never heal,"Viral hemorrhagic fever (Ebola, Marburg, Lassa, Yellow Fever, etc.)","How was the patient's viral hemorrhagic fever diagnosed and managed during her pregnancy, considering the ongoing outbreak in her region?",Ebola is a death sentence.,"Ebola is a deadly disease indeed but if managed urgently, one has some chances to survive.",Avoid gatherings and fluids of an infected person. Report to the health facility urgently. Take treatment as prescribed. Monitor fetal welbeing.
