Scenario,Guidelines Required,Question,Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
"A 32-year-old woman, 17 weeks pregnant, presents with severe abdominal pain and vaginal bleeding. She was told by her grandmother to take local medicine called (emmumbwa) to help rectify the pregnancy thats lost in the tubes. She has been diagnosed with an ectopic pregnancy and is receiving treatment.",Ectopic pregnancy,"Given her diagnosis, how should the patient's ectopic pregnancy be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Local medicine rectifies a pregnancy lost in the tubes.,"A pregnancy ic ectopic, cannot be transplanted so this medicine cannot be transplanted back to the uterus. The only way to manage it is to terminate it.",Do an ultra sound scan. Do an HCG test. Follow the treatment plan.
"A 34-year-old woman, 10 days postpartum, presents with heavy vaginal bleeding, fever, and abdominal pain. She has been showering herbs called (olweza) to make everything go well for her. She has been diagnosed with postpartum endomyometritis and is receiving antibiotic therapy.",Puerperal sepsis,"Based on her symptoms and postpartum status, how should the patient's postpartum endomyometritis be managed, and what are the guidelines for antibiotic therapy and supportive care?",Showering herbs makes everything go well for the mother.,"Be it as it may, its good to believe in good luck but it is important to be cautious about what can go wrong  and so live responsibly.",Maintain good hygiene. Do tests like CBC and urinalysis. Take antibiotics as prescribed.
"A 27-year-old woman, 21 weeks pregnant, presents with severe abdominal pain and vaginal bleeding. She has a history of recurrent miscarriages. She attended a funeral and she believes that the spirit of death followed her. The midwife suspects an intrauterine fetal death and is considering diagnostic tests and the management of potential complications.",Intrauterine fetal death,"How should the patient's suspected intrauterine fetal death be evaluated and managed, and what are the guidelines for diagnostic tests and the management of potential complications?",Attending a burrial transfers the spirit of death to the mother and the unborn child.,"Many pregnant women attend burrials but not everyone looses their or dies, this is therefore not scientifically proven.",Do an ultra sound scan. Plan for pregnancy termination. Follow the treatment plan. Join a social support group. Get a family planning method to use until when ready to get pregnant.
"A 26-year-old woman, 27 weeks pregnant, presents with a high fever, severe headache, and muscle pain. She has a history of travel to a region with an ongoing yellow fever outbreak. She was told that she is going to give birth to a yellow baby. The midwife suspects yellow fever, a viral hemorrhagic fever, and is considering isolation and supportive care.","Viral hemorrhagic fever (yellow fever, Ebola, Marburg, Lassa, etc.)","How should the patient's suspected yellow fever be managed, and what are the guidelines for isolation and supportive care in pregnancy?","When a pregnant mother suffers from yellow fever, she gives birth to a yellow baby.","Yellow fever is spread by a mosquito bite, it doesnot affect the skin color of the baby.",Isolate from other people to avoid spreading the disease. Take plenty of fluids and rest. Take immune boosters.
"A 25-year-old woman, 20 weeks pregnant, presents with severe abdominal pain and contractions. She has a history of a previous cesarean section. She fears that she is going to loose her baby. The midwife suspects placenta previa and is considering emergency delivery.",Antepartum hemorrhage,"How should the patient's suspected placenta previa be managed, and what are the guidelines for emergency delivery in the case of placenta previa?",A baby dies when antepartum hemorrhage occurs.,"When antepartum hemorrhage occurs, the baby remains un affected as long as it is  managed timely.",Report to the health facility immediately. Do an ultra sound scan. Get plenty of rest. Follow the treatment plan.
"A 26-year-old woman, 5 weeks postpartum, presents with a painful, swollen area in her breast, accompanied by a high fever and chills. She has been diagnosed with a breast abscess and is receiving treatment. She was given herbs at home called (omwetango) to heal her breast.",Breast abscess,"Based on her symptoms and postpartum status, how should the patient's breast abscess be managed, and what are the guidelines for treatment and supportive care?",Local herbs like (omwetango) can heal a breast abscess.,There is no scientific proof of this. A breast abscess is drained and then treated.,Do a CT scan. Do CBC. Continue breast feeding. Get a breast support pad. Follow the treatment plan.
"A 30-year-old woman, 8 days post-abortion, presents with abdominal pain, fever, and foul-smelling vaginal discharge. In her culture, a woman must participate in rituals to avoid complications during pregnancy. She has been diagnosed with septic abortion and is receiving antibiotic therapy.",Management of sepsis following abortion,"Based on her symptoms and post-abortion status, how should the patient's septic abortion be managed, and what are the guidelines for antibiotic therapy and further management?",Participating in rituals prevents pregnancy complications.,Pregnancy is a phenomenon that can be affected by various things. Complications can rise depending on a number of factors.,Do tests like CBC and urinalysis. Take antibiotics as prescribed. Take plenty of fluids.
"A 27-year-old woman, 34 weeks pregnant, presents with painful, recurrent genital ulcers. She has a history of genital herpes. In her culture, a woman must sleep with many men to ensure that the baby comes out strong. The midwife is considering antiviral therapy and the management of potential complications.",Genital ulcers,"How should the patient's condition be managed, and what are the guidelines for antiviral therapy and the management of potential complications in pregnancy?",Sleeping with many men while pregnant makes the baby to come out strong.,Sleeping with many men exposes a woman to various infections like STIs. Some have no cure. A woman should therefore stick to one partner or practice safe sex.,Maintain a good hygiene. Take plenty of fluids. Do tests like CBC and urinalysis. Follow the treatment plan.
"A 29-year-old woman, 30 weeks pregnant, presents with abdominal pain and contractions. She has been diagnosed with preterm labor and is receiving treatment to delay labor and reduce the risk of complications. She has been taking herbs like (Kanyeebwa) to maintain her pregnancy.",Preterm (premature) labor,"Given her diagnosis, how should the patient's preterm labor be managed, and what steps have been taken to delay labor and reduce the risk of complications according to the guidelines?",Herbs maintain pregnancy.,Herbs dosage cannot easily be determined. They can be dangerous and sometimes can cause premature contactions. Preterm labour can also be caused by infections.,Get plenty of bed rest. Follow the treatment plan.
"A 28-year-old woman, 27 weeks pregnant, presents with a severe headache, blurred vision, and upper abdominal pain. Her blood pressure is significantly elevated, and she has proteinuria. She was told that preeclampsia only develops later in the pregnancy. The midwife suspects eclampsia and is considering antihypertensive medications and further management.",Management of hypertensive disorders in pregnancy,"Based on her symptoms and findings, how should the patient's suspected eclampsia be managed, and what are the guidelines for antihypertensive medications and further management in pregnancy?",Preeclampsia develops later in pregnancy.,Preeclampsia can start as soon as the 20th week of gestation when the placenta is developing.,"Do tests like CBC, Urinalysis, RFTs, LFTs and other tests. Do an ultra sound scan. Take antibiotics as prescribed."
"A 31-year-old woman, 16 weeks pregnant, presents with severe abdominal pain and vaginal bleeding. She has been diagnosed with an ectopic pregnancy and is receiving treatment.She read online that an ectopic pregnancy can be transplanted from where it is to the uterus and was requesting for that to be done.",Ectopic pregnancy,"Given her diagnosis, how should the patient's ectopic pregnancy be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",An ectopic pregnancy can be transplanted.,"This cannot be done, atleast there is no documented successful procedure.  A fertilized egg cannot be moved.","Do an ultrasound scan. Do HCG test. Do other tests like CBC, blood grouping and crossmatching. Follow the treatment plan."
"A 33-year-old woman, 9 days postpartum, presents with heavy vaginal bleeding, fever, and abdominal pain. In the North where she stays, people belive that bleeding after delivery is normal and so she is supposed to worry. She has been diagnosed with postpartum endomyometritis and is receiving antibiotic therapy.",Puerperal sepsis,"Based on her symptoms and postpartum status, how should the patient's postpartum endomyometritis be managed, and what are the guidelines for antibiotic therapy and supportive care?",Bleeding is normal after delivery.,"After delivery, the discharge is called lochia, but not blood. It ends by the 8th day after delivery. Any bleeding that occurs is a danger sign and should be managed with urgency.",Do a CT scan to determine the extent of the inflamation. Take antibiotics as prescribed. Take plenty of rest and eat a balanced diet.
"A 34-year-old woman, 34 weeks pregnant, She reports that she has not felt her baby move for the past 02 days. She has a history of recurrent miscarriages. In her culture, when a woman removes banana hnds from the bunch, she should separate all the fingures, otherwise her children while die while in the womb. The midwife suspects an intrauterine fetal death and is considering diagnostic tests and the management of potential complications.",Intrauterine fetal death,"How should the patient's suspected intrauterine fetal death be evaluated and managed, and what are the guidelines for diagnostic tests and the management of potential complications?",Not separating banana hands into fingures causes intrauterine fetal death.,"Intrauterine fetal death is caused by a number of intrapartum complications like  preeclampsia, gestational diabetes, infections, congenital and genetic abnormalities, placental dysfunction and sometimes the cause is not known. These have nothing to do with banana fingures.",Do an ultra sound scan. Terminate pregnancy immediately. Take antibiotics as prescribed. Get a family planning method to use until when ready to become pregnant again.
"A 27-year-old woman, 26 weeks pregnant, presents with a high fever, severe headache, and muscle pain. She has a history of travel to a region with an ongoing Lassa fever outbreak. The midwife suspects Lassa fever, a viral hemorrhagic fever, and is considering isolation and supportive care. She was told that a woman with a mature pregnancy cannot become sick as she is protected by her unborn child.","Viral hemorrhagic fever (Lassa, Ebola, Marburg, yellow fever, etc.)","How should the patient's suspected Lassa fever be managed, and what are the guidelines for isolation and supportive care in pregnancy?",A woman with a mature pregnancy is protected by her child and cannot become sick,"Any woman, pregnant or not is completely liable to becoming sick. ",Isolate from others to avoid spreading the disease. Take plenty of fluids. Maintain a good electrolyte balance.  Be a well airated room. Follow the treatment plan.
"A 34-year-old woman, 37 weeks pregnant, presents with severe abdominal pain and vaginal bleeding. She has a history of recurrent miscarriages. She was told that towards delivery, it is normal that the foetus' heart beat should reduce towards delivery. The midwife suspects an intrauterine fetal death and is considering diagnostic tests and the management of potential complications.",Intrauterine fetal death,"How should the patient's suspected intrauterine fetal death be evaluated and managed, and what are the guidelines for diagnostic tests and the management of potential complications?","Towards delivery, it is normal for the heartbeat of the foetus to reduce.","All throughout the pregnancy, the foetus' heart beat is expected to be within the normal range. Ifv it goes below or above, then it is a danger sign that should be manage urgently.",Do an ultra sound scan. Report to the health facility immediately. Follow the treatment plan.
"A 27-year-old woman, 26 weeks pregnant, presents with a high fever, severe headache, and muscle pain. She has a history of travel to a region with an ongoing Lassa fever outbreak. she was tolld that when you pour cold water over your head, you can stop the bleeding. The midwife suspects Lassa fever, a viral hemorrhagic fever, and is considering isolation and supportive care.","Viral hemorrhagic fever (Lassa, Ebola, Marburg, yellow fever, etc.)","How should the patient's suspected Lassa fever be managed, and what are the guidelines for isolation and supportive care in pregnancy?",Pouring cold water over the head stops bleeding.,"Lassa fever is caused by a bite from an infected rat. This fever affects the clotting factors of the patient, the bleeding therefore takes long to stop.",Take plenty of fluids. Maintain a good electrolyte balance. Take immune boosters like vitamin supplements. Isolate from others Follow the treatment plan.
"A 31-year-old woman, 8 days post-abortion, presents with abdominal pain, fever, and foul-smelling vaginal discharge. In her culture it is evil children that die and the mother can also become sick for having bore an evil child. She has been diagnosed with septic abortion and is receiving antibiotic therapy.",Management of sepsis following abortion,"Based on her symptoms and post-abortion status, how should the patient's septic abortion be managed, and what are the guidelines for antibiotic therapy and further management?",Evil children die in-utero and the mother can also become sick for bearing an evil child.,"Abortion can occur due to various reasons like infections, trauma and sometimes, unknown causes. ","Maintain a good hygiene. Do tests like CBC, urinalysis and also do an ultrasound scan. Follow the treatment plan."
"A 29-year-old woman, 28 weeks pregnant, presents with abdominal pain and contractions. She has been diagnosed with preterm labor and is receiving treatment to delay labor and reduce the risk of complications. She was given herbs called oluzaalo (local name) to make her baby grow health.",Preterm (premature) labor,"Given her diagnosis, how should the patient's preterm labor be managed, and what steps have been taken to delay labor and reduce the risk of complications according to the guidelines?",Herbs make the baby grow healthy.,"Local herbs are not tested and not regulated, they can easily get a problem to escalate. It is best to take them with caution or avoid them.",Get plenty of bed rest. Follow the treatment plan.
"A 30-year-old woman, 37 weeks pregnant, presents with painful, recurrent genital ulcers. She has a history of genital herpes. She read online that a pregnant woman cannot get an STI. The midwife is considering antiviral therapy and the management of potential complications.",Genital ulcers,"How should the patient's condition be managed, and what are the guidelines for antiviral therapy and the management of potential complications in pregnancy?",A pregnant woman cannot get an STI.,Anyone at any time is liable to getting an STI as long as they have unprotected sex with an infected person.,Do tests like white blood count and CBC. Report to the health facility immediately. Get the partner treated and tested as well. Follow the treatment plan.
"A 33-year-old woman, 5 weeks postpartum, presents with a painful, swollen area in her breast, accompanied by a high fever and chills. She has been diagnosed with a breast abscess and is receiving treatment. She fears that her whole body is going to get affected.",Breast abscess,"Based on her symptoms and postpartum status, how should the patient's breast abscess be managed, and what are the guidelines for treatment and supportive care?",A breast abscess can spread and affect the whole body.,"Depending on the cause, a breast abscess can be localised and may not spread to other parts of the body. And if managed promptly, it can heal without any other part getting affected.",Continue breast feeding. Get a warm compress. Get a support bra for the breast. Get emotional support from family members and partner. Follow the treatment plan.
"A 32-year-old woman, 34 weeks pregnant, presents with sudden, severe abdominal pain, contractions, and vaginal bleeding. She has a history of a previous cesarean section. The midwife suspects placenta increta and is considering emergency delivery. In the village, her grandmother gave herbs called (mumenya) local name, to help widen her pelvis inorder for her to push normally.",Antepartum hemorrhage,"How should the patient's suspected placenta previa be managed, and what are the guidelines for emergency delivery in the case of placenta increta?",Herbs can make the pelvis to widen.,"Indications for a cesearean section vary, they are sometimes because of the mother and sometimes the unborn baby. It is not a guarantee that if a mother didn’t push the previous time, evn currently she cant. Herbs cann be disatrous because they are not regulated.","Get plenty of bedrest. Do an ultra sound scan. Do tests like CBC, blood grouping and cross-matching. Follow the treatment plan."
"A 28-year-old woman, 27 weeks pregnant, presents with a severe headache, blurred vision, and upper abdominal pain. Her blood pressure is significantly elevated, and she has proteinuria. She read online that preeclampsia is rare. The midwife suspects eclampsia and is considering antihypertensive medications and further management.",Management of hypertensive disorders in pregnancy,"Based on her symptoms and findings, how should the patient's suspected eclampsia be managed, and what are the guidelines for antihypertensive medications and further management in pregnancy?",Preeclampsia is rare.,The cases of preeclampsia raise every year and so it is important to attend ANC so that it is identified soon enough.,Do an ultrasound scan. Maintain a calm environment. Follow the treatment plan.
"A 27-year-old woman, 10 weeks pregnant, presents with severe vomiting, weight loss, and dehydration. She was told that she would be fine by the 12th week of her pregnancy. She has been diagnosed with hyperemesis gravidarum and is receiving treatment.",Hyperemesis gravidarum,"Given her diagnosis, how should the patient's hyperemesis gravidarum be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Hyperemesis gravidarum ends by the 12th week of pregnancy.,"For regular morning sickness, this can be true but for hyperemesis gravidarum, it can even carry on till the time of delivery.",Eat dry foods. Avoid very fatty and spicy foods. Get up slowly from the best in the morning. Brush teeth one hour after a meal. Avoid nausea triggers. Take plenty of fluids. Get an antiemetic if all fails.
"A 29-year-old woman, 8 weeks pregnant, presents with severe lower abdominal pain and vaginal bleeding. She has been diagnosed with a ruptured ectopic pregnancy and is receiving treatment. She read online that an ectopic pregnancy can be transplanted to the uterus and it grows normally.",Ectopic pregnancy,"Given her diagnosis, how should the patient's ruptured ectopic pregnancy be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",An ectopic pregnancy can be transplanted to the uterus and it grows normally.,"An ectopic pregnancy cannot be transplanted, it can only be terminated.",Do an ultrasound scan to guide mangement. Take plenty of fluids. Follow the treatment plan.
"A 32-year-old woman, 10 weeks pregnant, presents with a high fever, severe headache, and muscle pain. She has a history of travel to a region with an ongoing Ebola virus outbreak. The midwife suspects Ebola virus disease, a viral hemorrhagic fever, and is considering isolation and supportive care. She was to bathe outside in the direction where the sun rises from and that would heal her.","Viral hemorrhagic fever (Ebola, Marburg, Lassa, yellow fever, etc.)","How should the patient's suspected Ebola virus disease be managed, and what are the guidelines for isolation and supportive care in pregnancy?",Showering outside in the direction where the sun rises from can heal ebola.,"Ebola is a deadly disease, it needs to be handled with urgency.",Isolate from other people. Wash hands oftenly. Eat a balanced diet. Take plenty of fluids. Take immune boosters like vitamin supplements. Follow the treatment plan.
"A 27-year-old woman, 6 days postpartum, presents with a painful, swollen area in her breast, accompanied by a high fever and chills. She has been diagnosed with a breast abscess and is receiving treatment. She fears that it is going to affect the other breast as well and that she will loose both her breasts.",Breast abscess,"Based on her symptoms and postpartum status, how should the patient's breast abscess be managed, and what are the guidelines for treatment and supportive care?",A breast abscess transfers to another breast and that both are going to be lost.,"A breast abscess is not infectious, it can affect the other breast, both at the same time but it doesnot transfer. It can also be healed and the breast is not necessarily cut off.",Use a warm compress. Get a support bra to hold the breast in one place. Continue breast feeding. Follow the treatment plan.
"A 35-year-old woman, 34 weeks pregnant, presents with a recurrent outbreak of genital herpes. She is concerned about the risk of transmission to her unborn baby during delivery. She was told that when your partner has an STI, you can see it. The midwife is considering antiviral therapy and the management of potential complications.",Genital ulcers,"How should the patient's condition be managed, and what are the guidelines for antiviral therapy and the management of potential complications in pregnancy?","When your partner has an STI, you can see it.","STIs in men and women present differently. In men, some infections are silent and some are in women. An STI, can be spread even in an incubabtion period. So a partner may nat show any signs and still spread the infection.",Get the partner tested and treated concurrently. Practice protected sex. Follow the treatment plan.
"A 28-year-old woman, 4 weeks post-abortion, presents with abdominal pain, fever, and foul-smelling vaginal discharge. She has been diagnosed with septic abortion and is receiving antibiotic therapy. Her grandmother told her that she has to walk bare foot in the morning so that she connects with the earth and it heals her.",Management of sepsis following abortion,"Based on her symptoms and post-abortion status, how should the patient's septic abortion be managed, and what are the guidelines for antibiotic therapy and further management?",Walking barefoot helps one connect with the earth and it heals her.,Walking barefoot can be relaxing but it is not sufficient to heal one from illnesses.,Do tests like CBC and urinalysis. Take antibiotics as prescribed. Take plenty of fluids. Eat a balanced diet.
"A 31-year-old woman, 26 weeks pregnant, presents with sudden, severe abdominal pain, contractions, and vaginal bleeding. She has a history of a previous cesarean section. The midwife suspects placenta percreta and is considering emergency delivery. She was told when blood comes then a baby follows. ",Antepartum hemorrhage,"How should the patient's suspected placenta percreta be managed, and what are the guidelines for emergency delivery in the case of placenta percreta?",When blood flows during pregnancy then a baby follows.,"Show that comes out towards labour, is not necessarily blood, it is just a bloody mucus substance. Bleeding during pregnancy is a danger sign that should be managed urgently.","Get plenty of bedrest. Do an ultra sound scan. Do tests like CBC, blood grouping and cross-matching. Follow the treatment plan."
"A 33-year-old woman, 23 weeks pregnant, presents with a severe headache, blurred vision, and upper abdominal pain. Her blood pressure is significantly elevated, and she has proteinuria plus 4. In her culture, eclampsia is the devil's disease. The midwife suspects HELLP syndrome and is considering immediate interventions and further management.",Management of hypertensive disorders in pregnancy,"Based on her symptoms and findings, how should the patient's suspected HELLP syndrome be managed, and what are the guidelines for immediate interventions and further management in pregnancy?",Eclampsia is the devil's disease.,"Eclampsia is caused by abnormal trophoblastic invasion from the placenta after the 20th week of gestation. Other causes include vascular endothelial damage, nutrition, genetic disposition and others.",Do an ultrasound scan. Do a CBC and urinalysis test. Do other tests like RFTs and LFTs. Foloow the treatment plan.
"A 27-year-old woman, 10 weeks pregnant, presents with severe vomiting, weight loss, and dehydration. She has been diagnosed with hyperemesis gravidarum and is receiving treatment. She was told that she cannot take medicine as it will harm her baby.",Hyperemesis gravidarum,"Given her diagnosis, how should the patient's hyperemesis gravidarum be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Taking medicine will harm the baby.,"Some medicines are unsafe during pregnant but there are some that are tested and proved to be safe, they are the ones that are prescibed and can help.",Avoid over the counter medication. Eat dry foods mostly. Take some ginger. Get up slowly from the bed in the morning. Brush one hour after a meal. Avoid very fatty and spicy foods.
"A 30-year-old woman, 28 weeks pregnant, presents with abdominal pain and contractions. She has been diagnosed with preterm labor and is receiving treatment to delay labor and reduce the risk of complications. She was told that a preterm baby always dies because he or she is always fragile.",Preterm (premature) labor,"Given her diagnosis, how should the patient's preterm labor be managed, and what steps have been taken to delay labor and reduce the risk of complications according to the guidelines?",A preterm baby always dies.,"A premature baby is at risk of many complications but if cared for intensively, then the baby can grow up normaly.","Get plenty of bedrest. Do an ultra sound scan. Do tests like CBC, blood grouping and cross-matching. Follow the treatment plan."
"A 29-year-old woman, 7 weeks pregnant, presents with severe lower abdominal pain and vaginal bleeding. She blames her co-wife who she thinks is bewitching her.  She has been diagnosed with a ruptured ectopic pregnancy and is receiving treatment.",Ectopic pregnancy,"Given her diagnosis, how should the patient's ruptured ectopic pregnancy be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Ectopic pregnancy is caused by witchcraft.,"Ectopic pregnancy is caused by prior fallopian tube surgery, pelvic inflammatory disease, endometriosis, previous ectopic pregnancy and others.",Do a ultrasound scan. Follow the treatment plan. Get a family planning method until when ready to get pregnant again.
"A 32-year-old woman, 9 days postpartum, presents with heavy vaginal bleeding, fever, and abdominal pain.she was told that if she showers everyday then she cannot get sepsis. She has been diagnosed with postpartum endomyometritis and is receiving antibiotic therapy.",Puerperal sepsis,"Based on her symptoms and postpartum status, how should the patient's postpartum endomyometritis be managed, and what are the guidelines for antibiotic therapy and supportive care?",Showering everyday prevents sepsis.,Showering reduces the risks of sepsis but it needs to be supplemented for sepsis to be prevented.,Do tests like CBC and urinalysis. Eat a balanced diet. Take plenty of water. Exercise daily to promote healing. Take antibiotics as prescribed.
"A 38-year-old woman, 26 weeks pregnant with her fourth child, presents with a fever, chills, and lower abdominal pain. In her village, it is belived that all diseases that affect the genitals are sexually transmitted. She has a history of urinary tract infections (UTIs). The midwife suspects a UTI and is considering antibiotic therapy and further investigations.",Urinary tract infections in pregnancy,"Based on her history and symptoms, how should the patient's suspected UTI be managed, and what are the guidelines for antibiotic therapy and further investigations?",All infections that affect the genitals are sexually transmitted.,Urinary tract infections are not sexually transmitted and pregnant women are at risk of get them because the rate of passing out urine reduces as the pregnancy grows.,Continuosly empty the bladder. Take plenty of fluids. Eat a balanced diet. Take medication as prescribed. Avoid over the counter medication. Improve the toilet habits.
"A 36-year-old woman, 28 weeks pregnant, presents with vaginal itching and an abnormal vaginal discharge.  She was told that this is caused by wearing dirty knickers. The midwife suspects a vaginal infection and is considering diagnostic tests and antifungal therapy.",Abnormal vaginal discharges,"Given her symptoms, how should the patient's suspected vaginal infection be evaluated and managed, and what are the guidelines for diagnostic tests and antifungal therapy in pregnancy?",Abnormal vaginal discharge is caused by wearing dirty knickers.,Wearing dirty knickers puts one at risk of infections but abnormal vaginal discharge is usually a result of sexually transmitted infections.,Maintain a good hygiene. Practise safe sex. Do tests like CBC and other specific ones. Follow the treatment plan. Get partner tested and treated.
"A 27-year-old woman, 18 weeks pregnant, presents with painless genital warts. She is concerned about the risk of transmission to her unborn baby. She was told that if one showers with warm water, the warts can heal. The midwife is considering treatment options and the management of potential complications.",Genital warts,"Based on her symptoms, how should the patient's genital warts be managed, and what are the guidelines for treatment and the management of potential complications in pregnancy?",Showering with warm water heals the warts.,"Showering with warm water doesnot heal the warts, intense medication is required for the treatment.",Do tests like CBC and other specific tests. Take plenty of fluids. Maintain a good hygiene. Practise safe sex. Take antibiotics as prescribed.
"A 33-year-old woman, 35 weeks pregnant, presents with sudden, severe abdominal pain, contractions, and vaginal bleeding. She has a history of a previous cesarean section. She was told that bleeding can only happen when a woman has an accident. The midwife suspects placenta accreta and is considering emergency delivery.",Antepartum hemorrhage,"How should the patient's suspected placenta accreta be managed, and what are the guidelines for emergency delivery in the case of placenta accreta?",An accident is the only thing that can cause bleeding in pregnancy.,"Antepartum bleeding can be due to reasons like placenta previa, abruptio placentae, uterine rupture, vasa previa and many other reasons. But trauma from an accident can also cause the bleeding but its not the only cause.",Do an ultrasound scan. Get plenty of bedrest. Do tests like blood grouping and crossmatching. Take plenty of fluids. Follow the treatment plan.
"A 29-year-old woman, 24 weeks pregnant, presents with a severe headache, blurred vision, and upper abdominal pain. Her blood pressure is significantly elevated, and she has proteinuria. Her grandmother told her that preeclampsia is the illness of the moon. The midwife suspects preeclampsia and is considering antihypertensive medications and further management.",Management of hypertensive disorders in pregnancy,"Based on her symptoms and findings, how should the patient's suspected preeclampsia be managed, and what are the guidelines for antihypertensive medications and further management in pregnancy?",Preeclampsia is the illness of the moon.,"Preeclampsia is caused by trophoblastic invasion from the placenta, immune predisposition, genetics and others.","Do an ultrasound scan. Do tests like CBC, urinalysis, RFTs and LFTs. Follow the treatment plan."
"A 34-year-old woman, 15 weeks pregnant, presents with severe vomiting, weight loss, and dehydration. She was told that she needs to connect with mother nature in order to heal. She has been diagnosed with hyperemesis gravidarum and is receiving treatment.",Hyperemesis gravidarum,"Given her diagnosis, how should the patient's hyperemesis gravidarum be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",One needs to connect with mother nature in order to heal from hyperemesis gravidarum.,Connecting with mother nature can reduce stress but it does not heal hyperemesis gravidarum.,Get up slowly from the bed. Brush teeth one hour after a meal. Avoid nausea triggers. Eat dry foods. Avoid foods that are too spicy and fatty. Use ginger. Get an antiemetic if it does not subside. Take plenty of fluids.
"A 26-year-old woman, 30 weeks pregnant, presents with severe abdominal pain and contractions. She has been diagnosed with preterm labor and is receiving treatment to delay labor and reduce the risk of complications. People in her village have a theory that prematures always have complications.",Preterm (premature) labor,"Given her diagnosis, how should the patient's preterm labor be managed, and what steps have been taken to delay labor and reduce the risk of complications according to the guidelines?",Prematures always have complications.,"Prematures are delicate but if cared for intensively, there may be little to no complication.",Get plenty bedrest. Do an ultrasound scan. Do tests like urinalysis and CBC. Follow the treatment plan.
"A 31-year-old woman, 6 weeks pregnant, presents with severe lower abdominal pain and vaginal bleeding. She was told that if one waits a bit longer, the pregnancy can return to normal. She has been diagnosed with an ectopic pregnancy and is receiving treatment.",Ectopic pregnancy,"Given her diagnosis, how should the patient's ectopic pregnancy be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?","When one waits longer, the ectopic pregnancy can return to normal.","Ectopic pregnancies are not set to decide where they can go next, once it has started developing, it cannot change, the only management is to terminate as soon as possible before it ruptures.","Do an ultrasound scan. Do an HCG test. Do other tests like CBC, blood grouping and crossmatching. Follow the treatment plan. "
"A 28-year-old woman, 8 days postpartum, presents with heavy vaginal bleeding, fever, and abdominal pain. She was told that sepsis only affects mothers with a preexisting condition. She has been diagnosed with postpartum endometritis and is receiving antibiotic therapy.",Puerperal sepsis,"Given her diagnosis and postpartum status, how should the patient's postpartum endometritis be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Sepsis affects people who already have an existing condition.,People with a prexisting condition are more predisposed to sepsis but even people who are relatively healthy can get sepsis.,Maintain good hygiene. Eat a balanced diet. Take plenty of fluids. Follow the treatment plan.
"A 32-year-old woman, 5 weeks postpartum, presents with a painful, swollen, reddened area on her breast, accompanied by a fever and flu-like symptoms. She was told that a woman gets mastitis because she over breatsfeeds the child so the breast gets tired. She has been diagnosed with mastitis and is receiving antibiotic therapy.",Mastitis,"Based on her symptoms and postpartum status, how should the patient's mastitis be managed, and what are the guidelines for antibiotic therapy and supportive care?",Breastfeeding too many times tires out the breast and causes mastitis.,"Mastitis is caused by a bacterial infection and a breast cannot get tired, actually the more one breastfeeds her child, the better.",Use a warm compress. Get a support bra to hold the breast in one place. Continue breast feeding. Follow the treatment plan.
"A 37-year-old woman, 24 weeks pregnant with her first child, presents with a high fever, severe headache, joint and muscle pain, and a rash. The midwife suspects dengue fever, a viral hemorrhagic fever, and is considering diagnostic tests and supportive care. She thinks that dengues fever causes loss of feet.","Viral hemorrhagic fever (dengue, Marburg, Lassa, yellow fever, etc.)","Based on her symptoms, how should the patient's suspected dengue fever be evaluated and managed, and what are the guidelines for diagnostic tests and supportive care in pregnancy?",Dengue fever causes loss of feet.,"Dengue fever does not affect the feet, it affects blood vessels causing then to become leaky leading to the number of platelets to reduce.",Take plenty of fluids. Get painkillers from the health facility to manage the pain. Eat a balanced diet.
"A 32-year-old woman, 36 weeks pregnant, presents with cough, fever, and difficulty breathing. She has tested positive for COVID-19. She read online that COVID-19 is not real, it was just made up by the government. The midwife is considering the appropriate intrapartum care for the patient and her baby.",Intrapartum care for COVID-19 in pregnancy,"Given her positive COVID-19 test and symptoms, how should the patient's intrapartum care be managed, and what are the guidelines for the care of the mother and baby during labor and delivery?","COVID-19 is not real, it was just made up by the governemnt.",COVID-19 is a viral infection that attacks the respiratory system. It has no particular cure but it has a vaccine. It can be deadly if managed promptly.,"Isolate from others to avoid spreading the disease. Wash hands regularly. Sanitize surfaces often. Take plenty of fluids. Eat more fruits. Take some immune boosters like vitamin supplements. Follow the treatment plan,"
