Scenario,Keywords,Question,Guidelines Targeted,Health screening Questions (2-5),Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
sofia 17 year old pregnant teenager live conflict zone diagnose malaria experience symptom high fever muscle pain sofia hide illness fear people think unlucky baby normal sofia concerned health impact malaria unborn child,"Malaria, Conflict zone, Fever, Muscle pain, Concern",How would you assess and manage Sofia's risk of malaria given her location and challenging circumstances? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Which measures do you employ to fight against malaria? Do you have knowledge on the available health programs? Do you attend ANC?,Illness during pregnancy mean that the woman is unlucky and that the baby is not normal.,Anyone lucky or not can suffer from malaria and it doesnot reflect any possible abnormality with the baby.,Adopt various measures for protection against malaria. Attend ANC regularly. Interact with the village health team for knowledge on availble healh programs.
zoe 19 year old pregnant woman victim domestic violence second trimester diagnose malaria fear report illness husband look cursed woman beat experience fatigue headache abdominal pain zoe seek advice manage condition ensure healthy pregnancy,"Malaria, Second trimester, Domestic violence, Fatigue, Headaches, Abdominal pain",How would you support Zoe in managing her malaria while addressing her traumatic experience? What steps would you recommend to monitor her condition and ensure the health of her unborn child throughout her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Post-abortion Counseling",Are you part of a social support group? Do you attend ANC? Which measuresdo you employ to fight malaria?,Illnesses are a sign of being cursed.,"Anyone, cursed or not , can suffer from malaria.",Join a social support group for help. Attend ANC regularly. Involve local authority to mitigate domestic violence.
mia 15 year old pregnant teenager live refugee camp diagnose malaria believe become sick curse getting separate family cure experience high fever muscle pain mia concerned risk malaria impact unborn child,"Malaria, Refugee camp, Fever, Muscle pain, Concern",How would you assess and manage Mia's risk of malaria given her living conditions and concerns? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Do you attend ANC? Do you attend health education talks? Are you part of a social support group?,Separation from home caused her curses and she will not be cured.,Malaria can be effectively treated with antimalarials espescially if taken right.,Attend ANC regularly. Join a social support group for emotiona support. Attend health education talks. 
grace 18 year old pregnant woman survivor sexual assault third trimester diagnose severe malaria grace culture pregnant woman allow anything injure mother baby stay home anything experience symptom high fever jaundice difficulty breathe grace concerned health impact severe malaria unborn child,"Malaria, Third trimester, Sexual assault, Fever, Jaundice",How would you support Grace in managing her severe malaria while addressing her traumatic experience? What steps would you take to ensure the health of her unborn child and monitor her condition throughout her third trimester?,"Management of Malaria in Pregnancy, Intrapartum Care, Post-abortion Counseling",Are you in a social support group? Which measures are you employing to fight malaria? Do you attend ANC?,Doing anything while pregnanant can hurt the baby.,"While pregnant, it is important to be active in order to improve circulation. The activities should not be so streinous to cause any trauma. ",Attend social support group meetings to heal from the emotional trauma. Attend ANC regularly in order for the pregnancy to be monitored. Take antimalarials as prescribed.
emma 16 year old girl early marriage second trimester diagnose malaria emma say ever since become pregnant wa allow eat anything red could cause unborn baby much blood come dead experience symptom fatigue headache abdominal pain emma seek advice manage condition ensure healthy pregnancy,"Malaria, Second trimester, Early marriage, Fatigue, Headaches, Abdominal pain",How would you manage Emma's malaria considering her age and stage of pregnancy? What steps would you recommend to monitor her condition and ensure the health of her unborn child throughout her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Which measures do you employ to fight against malaria? Do you attend ANC?,Eating any red food makes the baby to have a lot of blood leading to death of the unborn baby.,"Red foods like meat contain proteins important for cell repair and iron required for red blood cell formation. It is therefore important to add them to the diet though not in large amounts. While in-utero, the baby only receives the required nutrients from the mother via the placenta, not excess.",Adopt measures to fight against malaria. Attend ANC regularly. Take antimalarials as prescribed.
olivia 14 year old pregnant teenager live slum area diagnose malaria since married local believe whore god curse illness experience severe vomiting unable keep food olivia concerned health impact malaria pregnancy,"Malaria, Slum area, Vomiting, Concern",How would you manage Olivia's malaria given her symptoms and living conditions? What recommendations would you provide to ensure her health and the well-being of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Hyperemesis Gravidarum",Which measures do employy to fight agaisnt malaria? Do you attend ANC? Do you eat a balanced diet?,gods curse non married pregnant women and they get illnesses.,"Malaria is caused by an infected mosquito bite, anyone can suffer from the disease.",Adopt measures to fight against malaria. Attend ANC regularly. Take antimalarials as prescribed. Eat a balanced diet.
isabella 17 year old pregnant girl victim human trafficking first trimester diagnose malaria isabella send away family distant relative could cause bad oman family think witch experience fatigue headache abdominal pain isabella seek advice manage condition ensure healthy pregnancy,"Malaria, First trimester, Human trafficking, Fatigue, Headaches, Abdominal pain",How would you support Isabella in managing her malaria while addressing her traumatic experience? What steps would you recommend to monitor her condition and ensure the health of her unborn child throughout her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Post-abortion Counseling",Do you attend ANC? Do you have anyone at home who helps you with some house chores? Which measurrs do you employ to fight malaria?,Being away from home brings bad omen and the illness is because she is bewitched.,"Malaria is caused by an infected mosquito bite, anyone can suffer from the disease.",Report the issues of human trafficing to the local leaders. Attend ANC regularly. Take antimalarials as prescribed.
fatima 46 year old pregnant woman enter menopause carry prescious baby ridicule peer call cursed woman first trimester diagnose malaria concerned potential impact malaria pregnancy especially consider age change occur body,"Malaria, First trimester, Menopause, Age, Concern",How would you support Fatima in managing her malaria considering her age and the changes in her body due to menopause? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you eat a balanced diet? How many times do you eat in a day? Which measures do you follow to fight malaria? Do you attend ANC?,Not having a child means that one is cursed.,Many reason can contribute to one being infertile and its not necessarily because of curses.,Eat a balanced diet. Attend ANC regualrly. Employ measures to fight against malaria.
christina 27 year old pregnant woman history drug abuse second trimester diagnose malaria eat food like banana jackfriut fish say food cause baby dark complexion experience symptom high fever fatigue joint pain christina worried health impact malaria pregnancy,"Malaria, Second trimester, Drug abuse, Fever, Fatigue, Joint pain",How would you manage Christina's malaria given her history of drug abuse and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Do you attend health education talks? Which measures do you employ to fight malaria?,"Bananas, jackfruit and fish cause the baby to have a dark complexion.","The skin complexion is genetically determined, the foods a mother eats do not influence the skin complexion of the unborn baby.",Eat a balanced diet. Attend ANC regualrly. Employ measures to fight against malaria. Attend health education talks.
priya 30 year old pregnant woman low income community third trimester diagnose malaria priya eat food reagarde hot culture like papaya pineapple cause miscarriage experience severe nausea vomit priya concerned health potential impact malaria pregnancy,"Malaria, Third trimester, Low income, Nausea, Vomiting, Concern",How would you assess and manage Priya's risk of malaria given her socioeconomic background and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Hyperemesis Gravidarum",Do you have a birrh readiness plan? Do you attend ANC? Do you attend health education talks.,Hot foods like papaya cause miscarriages.,"Misacarriages can occur to a pregnancy, there are various causes but they do not include hot foods.",Make a birth readiness plan. Attend ANC regularly. Adopt measures for protection against malaria.
aisha 20 year old pregnant woman cultural group discourage seek healthcare eat mutton pregnancy cause baby long hair body second trimester diagnose malaria experience fatigue headache aisha worried potential impact malaria pregnancy,"Malaria, Second trimester, Cultural constraints, Fatigue, Headaches, Concern",How would you manage Aisha's malaria considering the cultural constraints of her community? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend health education talks? Do you get informamtion from credible sources?,Eating mutton makes the baby to have long hair on the body.,"Eating mutton is not scientifically proven to be a link to a baby having long hair on the body, this is genetically determined.",Attend ANC regularly. Get antimalarials and adhere to the treatment. Attend health education talks and get information from credible sources.
leyla 32 year old pregnant woman survivor domestic violence first trimester diagnose malaria culture woman donot eat fuse banana cause woman twin avoid experience fatigue headache abdominal pain leyla seek advice manage condition ensure healthy pregnancy,"Malaria, First trimester, Domestic violence, Fatigue, Headaches, Abdominal pain",How would you manage Leyla's malaria given her history of domestic violence and current symptoms? What steps would you recommend to monitor her condition and ensure the health of her unborn child throughout her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Post-abortion Counseling",Are you part of a social support group? Do you like your pregnacy? Do you attend ANC?,Eating fused bananas makes someone to have twins.,"Getting twins is a trait that usually runs in a family, it is genetically determined. It therefore, has nothing to do with eating fused matooke.",Join a social support group to help heal from the trauma. Attend ANC regularly.
monica 24 year old pregnant woman history drug addiction second trimester diagnose malaria monica doesnot eat green coconut water since pregnant say cause har unborn child opacity eyeball experience high fever chill monica concerned risk malaria impact unborn child,"Malaria, Second trimester, Drug addiction, Fever, Chills, Concern",How would you assess and manage Monica's risk of malaria given her history of drug addiction and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you still feel the urge to do drugs? Do you know thw dangers associated with doing drugs during pregnancy? Do you attend ANC?,Green coconunt water causes an unborn baby to have opacity of the eyes.,"This is not scientifically proven, coconunts are rich in fats.",Avoid drugs and common areas with people who abuse drugs. Attend ANC and get treatment against malaria.
anita 35 year old pregnant woman cultural group practice female genital mutilation third trimester diagnose malaria experience symptom high fever fatigue joint pain anita worried health impact malaria pregnancy,"Malaria, Third trimester, Female genital mutilation, Fever, Fatigue, Joint pain",How would you manage Anita's malaria considering the cultural practices of her community? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Which measures do you employ to fight against malaria? Do you attend health education talks? ,Female genital mutilation is good for women.,"There are many dangers associated with female genital mutilation, it should be avoided.",Attend ANC regularly. Attend health education talks. Adopt measures to fight against malaria. 
michelle 29 year old pregnant woman enter menopause second trimester diagnose malaria michelle stop eat egg become pregnant say egg make baby smell bad experience symptom high fever fatigue abdominal pain michelle concerned risk malaria impact unborn child,"Malaria, Second trimester, Menopause, Fever, Fatigue, Abdominal pain",How would you manage Michelle's malaria given her age and the changes occurring in her body due to menopause? What steps would you recommend to monitor her condition and ensure the health of her unborn child throughout her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Do you attend health education talks? Do you eat a balanced diet? Which measures do you employ to fight against malaria?,Eggs make the unborn baby smell bad.,"Eggs are rich proteins and calcium, these are very beneficial to a pregnant woman, espescially one who is almost reaching menopause. A baby usually smells bad only when he or she is infected.",Eat a balanced diet adding foods rich in calcium and proteins. Attend ANC regularly. Attend health education talks. Adopt measures to fight against mosquito bites.
safiya 21 year old pregnant woman low income community first trimester diagnose malaria come culture pregnant woman eat dark colored fruit vegetable cause baby dark complexion experience high fever muscle pain safiya concerned risk malaria impact unborn child,"Malaria, First trimester, Low income, Fever, Muscle pain, Concern",How would you assess and manage Safiya's risk of malaria given her socioeconomic background and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Community Participation in Reproductive Health Programs",Do you attend ANC? Do you attend health education talks? Which measures do you employ to fight malaria?,Dark colored fruits and vegetables cause the baby to have a dark complexion.,Skin complexion of the baby is genetically determined.,Attend ANC regularly and health education talks for reliable information.
hafsa 28 year old pregnant woman victim force marriage third trimester diagnose malaria experience symptom fatigue headache abdominal pain hafsa seek advice manage condition ensure healthy pregnancy also come culture dictate food sticky appearance like tender jackfruit avoid hinder clearance greasy material vernix new bear body,"Malaria, Third trimester, Forced marriage, Fatigue, Headaches, Abdominal pain",How would you manage Hafsa's malaria considering her history of forced marriage and current symptoms? What steps would you recommend to monitor her condition and ensure the health of her unborn child throughout her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Post-abortion Counseling",Are you happy with your pregnancy? Do you atttend ANC? Do you ttend health education talks?,Foos with sticky appearance delay the clearance of vernix.,"Vernix builds the health skin of the baby, it clears in dues time.",Join a social support group for emotional support. Attend ANC regularly. Attend health education talks.
jasmine 30 year old pregnant woman diabetes second trimester diagnose malaria jasmine eat little food pregnant order avoid big baby would cause difficult delivery experience fatigue joint pain high blood sugar level jasmine worried potential impact malaria pregnancy diabetes,"Malaria, Second trimester, Diabetes, Fatigue, Joint pain, High blood sugar","How would you manage Jasmine's malaria given her diabetes and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child, considering her condition?","Management of Malaria in Pregnancy, Antenatal Care, Gestational Diabetes",Do you adhere to your daily medication? Do you attend ANC? Do you attend health education talks?,Eat liitle food to avoid having a big baby.,"When a woman has diabetes melitus, she is at risk of having a big baby. However, this doesnot mean that one should eat little food, she should just adhere to medication while eating as as advised.",Adhere to medication as prescribed. Attend health education talks and ANC regularly.
susan 35 year old pregnant woman hearing impairment first trimester diagnose malaria suzan eat fruit hard cover need open like coconut cause pregnant woman obstruct labour experience fever nausea susan concerned risk malaria impact unborn child,"Malaria, First trimester, Hearing impairment, Fever, Nausea, Concern",How would you manage Susan's malaria considering her hearing impairment and current symptoms? What steps would you recommend to ensure the health of her unborn child throughout her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Do you attend health education talks? Which measures do you employ to fight malaria?,Eating fruits with hard covers cause the mother to have obstructed labour.,"Obstructd labour can be caused by a number of factors, which do not include eating hard cover fruits.",Attend health education talks. Attend ANC regularly. Adopt measures to fight against malaria. Take antimalarials as prescribed.
amina 27 year old pregnant woman history rheumatoid arthritis third trimester diagnose malaria amina doenot eat fish catch net cause pregnant woman cesarean section experience joint pain fatigue fever amina seek advice manage condition ensure healthy pregnancy,"Malaria, Third trimester, Rheumatoid arthritis, Joint pain, Fatigue, Fever",How would you manage Amina's malaria given her history of rheumatoid arthritis and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Are you on medication for the rheumaoid arthritis? Do you attend health education talks?,Eating fish caught by nets leads to a mother having a cesearean section.,"A cesearean section is contributed to by a number of conditions that complicate the pregnancy, these have nothing to do with nets and fis.",Adhere to the medication as prescribed. Attend ANC regularly. Attend health education talks.
sonia 28 year old pregnant woman limited mobility due spinal cord injury second trimester diagnose malaria culture pregnant woman eat sour food cause baby hyperacidity experience symptom fever fatigue headache sonia concerned risk malaria impact unborn child,"Malaria, Second trimester, Spinal cord injury, Fever, Fatigue, Headaches",How would you manage Sonia's malaria considering her limited mobility and current symptoms? What steps would you recommend to monitor her condition and ensure the health of her unborn child throughout her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you have anyone who helps you with work at home? Do you attend ANC? Which measures do you employ to fight malaria?,Sour foods cause the baby to be hyperactive.,Hyperactivity has nothing to do with sour foods.,Avoid streinous activities. Attend ANC regularly. Adopt measures to fight malaria?
priyanka 32 year old pregnant woman history lupus first trimester diagnose malaria since pregnant doesnot eat small fish eat bone bone choke unborn child experience symptom joint pain fever muscle ache priyanka seek advice manage condition ensure healthy pregnancy,"Malaria, First trimester, Lupus, Joint pain, Fever, Muscle aches",How would you manage Priyanka's malaria given her history of lupus and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Which measures do you employ to boost your immunity? How do you protect yourself against malaria? Do you attend ANC?,Small fish bones choke the unborn baby.,Food eaten is digested thoroughly before it reaches the baby. ,Eat a balanced diet. Adhere to the medication. Attend ANC and get malarial treatment and adhere to the tratment.
natasha 24 year old pregnant woman syndrome second trimester diagnose malaria natasha also doesnnot take cold water cause skin unborn child shrink experience fever chill muscle pain natasha worried potential impact malaria pregnancy,"Malaria, Second trimester, Down syndrome, Fever, Chills, Muscle pain",How would you manage Natasha's malaria considering her Down syndrome and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you eat a balanced diet? How many times do you eat in a day? Which measures do you follow to fight malaria? Do you attend ANC?,Cold water makes the unborn baby's skin shrink.,"There is no scientific proof between skin shrinkage and cold water, although too much of anything is not good, cold water ids neither harmful not the mother nor the baby.",Eat a balanced diet to boost immunity. Attend ANC regularly and take antimalarials as prescribed.
halima 31 year old pregnant woman multiple sclerosis third trimester diagnose malaria experience symptom fatigue headache numbness also experience fever say unborn child lot hair halima concerned risk malaria impact unborn child,"Malaria, Third trimester, Multiple sclerosis, Fatigue, Headaches, Numbness",How would you manage Halima's malaria given her history of multiple sclerosis and current symptoms? What steps would you recommend to monitor her condition and ensure the health of her unborn child throughout her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you have any trouble breathing? Do oyu do some light exercises? Do oyu attend ANC?,Fever ina pregnant woman is because the baby has a lot of hair.,There is no connection between the baby's hair and fever. Fever is usually due to an infection.,Do light exercises to improve blood circulaton. Adopt measures to fight malaria. Increase iron intake by supplimenting it with iron tablets. Attend ANC and prepare a birth delivery plan.
gabriella 29 year old pregnant woman visual impairment second trimester diagnose malaria gabriella also doesnot eat spicy food like red chilli baby go bald experience high fever joint pain gabriella seek advice manage condition ensure healthy pregnancy,"Malaria, Second trimester, Visual impairment, Fever, Joint pain",How would you manage Gabriella's malaria considering her visual impairment and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Which measures do you have to protect yourself from malaria? Do you have anyone helping you at home with certain activities? ,Spicy foods make the baby go balf,Baldness is genetically determined. Spicy foods have no connection to baldness. The minerals in spices in red pepper are good for health.,"Attend ANC, sleep under a treated mosquito not, take medication as prescribed."
ayesha 34 year old pregnant woman diabete mellitus first trimester diagnose malaria ayesha also doesnot eat okra make baby drolly experience symptom tremor fatigue fever ayesha concerned risk malaria impact unborn child,"Malaria, First trimester, Parkinson's disease, Tremors, Fatigue, Fever",How would you manage Ayesha's malaria given her history of diabetes mellitus and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Which medication regimen do you use for diabetes? Which measusres do you use to fight malaria? Do you atend ANC?,Eating okra while pregnant makes the baby drolly.,There is no scientific link between okra and drolling. Okra has a number of minerals that are beneficial to a pregnant woman.,Adhere to the treatment of diabetes. Employ the various methods to fight malaria. Attend ANC and get malarial treatment from a recognisable facility.
lakshmi 26 year old pregnant woman history drug abuse second trimester diagnose malaria lakshmi eat orange expense food tell make baby fair experience symptom muscle pain fever fatigue lakshmi seek advice manage condition ensure healthy pregnancy,"Malaria, Second trimester, Drug abuse, Muscle pain, Fever, Fatigue",How would you manage Lakshmi's malaria considering her history of drug abuse and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplie",Do you still have the urge to use drugs? Do you know the dangers associated with doing drugs while preganant? Do you attend ANC?,Oranges make the baby fair,"There is not baby who is ugly. Oranges are rich in vitamins but they are not good enough for a diet. When the mother is healthy, the bay will definitely be fair.",Avoid drugs and common areas with people who abuse drugs. Attend ANC and get treatment against malaria.
sofia 33 year old pregnant woman amputee first trimester diagnose malaria sofia fear burrial attend death spirit pass onto unborn child ehy fell sick experience fever headache sofia concerned risk malaria impact unborn child,"Malaria, First trimester, Amputee, Fever, Headaches",How would you manage Sofia's malaria considering her disability and current symptoms? What steps would you recommend to monitor her condition and ensure the health of her unborn child throughout her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Do you have nhyone t home who helps you with some house chores? Which measurrs do you employ to fight malaria?,Attending a burrial while preganant causes the spirit of death to tranfer to the baby and mother.,Malaria is a curable disease and one can protect him or herself from it.,"Attend ANC, sleep under a treated mosquito not, take medication as prescribed."
mia 28 year old pregnant woman history depression second trimester diagnose malaria mia doesnot eat peanut diary product believe eat make baby allergic experience fatigue muscle pain mood swing mia seek advice manage condition ensure healthy pregnancy,"Malaria, Second trimester, Depression, Fatigue, Muscle pain, Mood swings",How would you manage Mia's malaria given her history of depression and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Are you on medication for depression? Are you part of a social support group? Do you like your pregnancy? Which measures do you employ to fight malaria?,Eating dairy products makes the unborn child allegic to them.,Allergies are usually genetically determined.,Adhere to medication. Attend ANC regularly. Join a social support group. Adopt different ways to fight malaria.
emily 29 year old pregnant woman refugee third trimester diagnose malaria emily say eat two since sshe pregnant refugee camp get enough food good condition experience symptom high fever fatigue joint pain emily concerned risk malaria impact unborn child,"Malaria, Third trimester, Refugee, Fever, Fatigue, Joint pain",How would you manage Emily's malaria considering her refugee status and current symptoms? What steps would you recommend to ensure the health of her unborn child throughout her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",How many times do you eat in a day? Do you have knowledge on what a balanced diet comprises? Which measures do you employ to fight malaria? Do you attend ANC? ,A pregnant woman must eat for 2,"During pregnancy, a woman must eat frequently but not exessively.",Eat a balanced diet and eat 6 times a day. Employ measures to fight malaria. Get treatment and adhere to it. Attend ANC regularly.
isabella 26 year old pregnant woman history eat disorder first trimester diagnose malaria isabella believe carry baby girl steal away beauty experience symptom fever chill nausea isabella worried potential impact malaria pregnancy,"Malaria, First trimester, Eating disorder, Fever, Chills, Nausea",How would you manage Isabella's malaria considering her history of an eating disorder and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",How many times do you eat in a day? Do you have knowledge on what a balanced diet comprises? Which measures do you employ to fight malaria? Do you attend ANC? ,Baby girls steal their mother's beauty.,"There are hormonal changes during pregnancy, this may affect the appearance of the mother.",Eat a balanced diet and eat 6 times a day. Get appetite stimulators to improve appetite. Employ measures to fight malaria. Get treatment and adhere to it.
ava 27 year old pregnant woman history anxiety second trimester diagnose malaria ava avoid exercise include raise arm cause baby umblical cord get knot experience symptom muscle pain fever rapid heartbeat ava seek advice manage condition ensure healthy pregnancy,"Malaria, Second trimester, Anxiety, Muscle pain, Fever, Rapid heartbeat",How would you manage Ava's malaria given her history of anxiety and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you have anxiety management techniques? Which measures are you employing to fight malaria? Do you attend ANC? ,Exercises cause a nuchal cord.,Exercises especially if not streinous are good for the health of the mother. A nuchal cord is not caused by exercises.,"Practise stress mangement techniques to control anxiety. Attend ANC , get treatmtent from a recognised health facility and adhere to it. "
abigail 32 year old pregnant woman domestic violence survivor third trimester diagnose malaria area people believe donot hear mosquito bite experience high fever joint pain abigail concerned risk malaria impact unborn child,"Malaria, Third trimester, Domestic violence survivor, Fever, Joint pain",How would you manage Abigail's malaria considering her history of domestic violence and current symptoms? What steps would you recommend to ensure the health of her unborn child throughout her pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Are you part of any social support group? Have you reported the issue to people who can help? Do oyu attend ANC?,"If you do not hear mosquitoes, then you will not be bitten.",Mosquitoes usually make a buzzing sound espescially if many but sometimes they are silent so they can bite you even when you do not hear them.,Join a social support group. Attend ANC. Get antimalarials and adhere to the treatment.
charlotte 30 year old pregnant woman history substance abuse first trimester diagnose malaria beileve since suffer malaria suffer experience symptom joint pain fever fatigue charlotte seek advice manage condition ensure healthy pregnancy,"Malaria, First trimester, Substance abuse, Joint pain, Fever, Fatigue",How would you manage Charlotte's malaria considering her history of substance abuse and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you still have the urge to use drugs? Do you know the dangers associated with doing drugs while preganant? Do oyu attend ANC?,"When you suffer from malaria, you cannot sufer from it again.","Unlike some diseases, malaria doesnot leave memory cells in the body, and there are different species of mosquitoes so one can get malaria again even after suffering from it before.",Avoid drugs and common areas with people who abuse drugs. Attend ANC and get treatment against malaria.
amelia 29 year old pregnant woman history alcoholism second trimester diagnose malaria think malaria fatal disease much effect experience symptom muscle pain fever nausea amelia worried potential impact malaria pregnancy,"Malaria, Second trimester, Alcoholism, Muscle pain, Fever, Nausea",How would you manage Amelia's malaria considering her history of alcoholism and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",D o you still take alcohol while pregnant? Do you know the dangers of taking alcohol while pregnant? Do you attend ANC? Which measures are you employing to fight malaria?,Malaria is not a fatal disease.,Malaria is preventable but it is fatal. It is responsible for a number of deaths around the world especially in sub-saharan Africa.,Avoid alcohol and drinking areas. Attend ANC and get treatment against malaria.
ella 34 year old pregnant woman history bipolar disorder third trimester diagnose malaria ella think though one get malaria hot experience symptom fatigue headache mood swing ella seek advice manage condition ensure healthy pregnancy,"Malaria, Third trimester, Bipolar disorder, Fatigue, Headaches, Mood swings",How would you manage Ella's malaria given her history of bipolar disorder and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you know hoe to identify the signs of a mental breakdown? Are you attending ANC? Do you have knowledge on  fighting malaria?,One cannot get malaria when it is hot.,Hot weather only reduces the rate at which mosquitoes multiply but they still breed and bite people to feed.,Keep a mood changes diary. Adhere to treatment. Attend ANC regularly.
scarlett 31 year old pregnant woman history self harm first trimester diagnose malaria believe since take antimalarial suffer malaria experience symptom fever chill muscle pain scarlett worried potential impact malaria pregnancy,"Malaria, First trimester, Self-harm, Fever, Chills, Muscle pain",How would you manage Scarlett's malaria considering her history of self-harm and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do yoy still have ideas of self harm? Have you evr had a mental screening test? Do you like your pregnancy? Are you attending ANC?,Antimalarial prophylaxis protects against malaria.,Propphylaxis reduces the chances of getting malaria but it doesnot completely eliminate the risk.,Join a social support group. Atend ANC. Get antimalarials and adhere to the treatment.
chloe 27 year old pregnant woman history schizophrenia second trimester diagnose malaria chloe take local herb call kanyebwa local name improve fertility experience symptom fever fatigue headache chloe concerned potential impact malaria pregnancy,"Malaria, Second trimester, Schizophrenia, Fever, Fatigue, Headaches",How would you manage Chloe's malaria considering her history of schizophrenia and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you have a mood changes diary? Are you still adhering to your medication? Do you have measures to protect yourself against malaria?,Local herbs improve fertility.,"There are a number of reasons that can cause infertility, investigations are vital to identify a particular cause and then get the right treatment.",Adhere to her treatment and keep a mood monitoring diary. Attend ANC regularly.
lily 30 year old pregnant woman history anorexia nervosa third trimester diagnose malaria culture anscestor move thing like insect mosquito bite anscestor pleased experience symptom joint pain fever muscle pain lily worried potential impact malaria pregnancy,"Malaria, Third trimester, Anorexia nervosa, Joint pain, Fever, Muscle pain",How would you manage Lily's malaria considering her history of anorexia nervosa and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Have you tried to improve on your eating habit eversince you became pregnant? How many times do you eat in a day? Do you attend ANC?,Anscestors communicate and move in insects.,"Malaria is a disease caused by a mosquito bite from an infected female anophlese mosquito, so there is need to be ware.",Eat a balanced diet and eat 6 times a day. Get appetite stimulators to improve appetite. Employ measures to fight malaria. Get treatment and adhere to it.
